case,problem,cores,variant,group,status,makespan,added_copy,logical_calls,new_calls,failures,timeouts,elapsed_seconds,tail_generation_seconds,prefix_reported_generation_seconds,prefix_elapsed_seconds,stop_reason,summary,time_b8,time_b12,time_b16
case_069,1,5,strong,development,success,15434,554768,16,16,0,0,8.797357874980662,0.0,2.1423996399971657,8.786129855987383,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_069/p1_n5/strong/summary.json,16672,15690,15434
case_051,2,3,strong,lowcore,success,228533,263200,16,16,0,0,6.427056009997614,0.0,0.2085420870280359,6.407453339983476,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p2_n3/strong/summary.json,228533,228533,228533
case_089,2,5,joint,validation,success,118946,954880,16,16,0,0,29.572286711016204,8.324718999967445,3.7808241070306394,17.447839025990106,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_089/p2_n5/joint/summary.json,119851,118946,118946
case_046,1,5,strong,development,success,124612,4513952,16,16,0,0,6.287923290015897,0.0,0.608214756968664,6.276443952985574,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_046/p1_n5/strong/summary.json,124612,124612,124612
case_009,2,4,joint,lowcore,success,61588,1352596,16,16,0,0,38.80705528400722,10.17023985699052,2.5245070009841584,22.12305027100956,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n4/joint/summary.json,84037,62293,61588
case_065,1,5,strong,validation,success,10443,55440,16,16,0,0,5.9441748969838955,0.0,0.9281703129818197,5.935985272022663,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p1_n5/strong/summary.json,10902,10443,10443
case_042,1,5,strong,validation,success,337038,11748480,16,16,0,0,59.33232570599648,0.0,5.258621796005173,59.29145422199508,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_042/p1_n5/strong/summary.json,343752,343752,337038
case_022,3,5,strong,validation,success,11820,20736,16,16,0,0,7.16290845599724,0.0,0.9841837420244701,7.143058396002743,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_022/p3_n5/strong/summary.json,11820,11820,11820
case_085,1,5,joint,development,success,2760933,4246258,6,6,3,3,192.8635165200103,0.0,13.180304321023868,192.7825620629883,time_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_085/p1_n5/joint/summary.json,2760933,2760933,2760933
case_012,3,5,strong,validation,success,12272,49536,16,16,0,0,6.232294814020861,0.0,1.3133595460094512,6.212451136001619,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_012/p3_n5/strong/summary.json,12279,12272,12272
case_089,1,5,strong,validation,success,147432,954880,16,16,0,0,32.43843937900965,0.0,3.4153153439983726,32.39054882799974,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_089/p1_n5/strong/summary.json,147432,147432,147432
case_085,2,5,joint,development,success,881711,38447480,12,12,1,1,180.3150233589986,0.0,5.4291475909994915,180.0458993469947,time_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_085/p2_n5/joint/summary.json,881711,881711,881711
case_051,3,4,joint,lowcore,success,178974,197848,16,16,0,0,8.075721114990301,0.8500373839924578,0.23218572599580511,5.539841635996709,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p3_n4/joint/summary.json,178974,178974,178974
case_012,3,5,joint,validation,success,12045,61824,16,16,0,0,8.006142651982373,1.843397371005267,1.2982431410055142,4.945258352003293,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_012/p3_n5/joint/summary.json,12279,12272,12045
case_046,3,3,joint,lowcore,success,79308,1860800,16,16,0,0,6.123795001010876,0.9435847019776702,0.42391092304023914,4.050976555998204,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p3_n3/joint/summary.json,79308,79308,79308
case_085,2,5,strong,development,success,881711,38447480,12,12,1,1,180.3127243949857,0.0,5.751346765027847,180.04399327700958,time_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_085/p2_n5/strong/summary.json,881711,881711,881711
case_046,2,5,joint,development,success,77846,2791200,16,16,0,0,5.961383688001661,0.7912902670504991,0.5114336919796187,4.039954495994607,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_046/p2_n5/joint/summary.json,93013,77846,77846
case_006,2,5,joint,development,success,31729,63616,16,16,0,0,5.198840607015882,0.9619084589648992,0.44591979001415893,3.310772219003411,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p2_n5/joint/summary.json,31729,31729,31729
case_085,3,5,strong,development,success,918123,38446456,12,12,1,1,180.47561233097804,0.0,4.509592538001016,180.24723846800043,time_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_085/p3_n5/strong/summary.json,928690,918123,918123
case_057,3,5,joint,validation,success,14372,27936,16,16,0,0,6.861627350008348,1.5024980040325318,0.5347989430010784,4.166777593985898,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_057/p3_n5/joint/summary.json,14372,14372,14372
case_069,3,5,strong,development,success,10673,496562,16,16,0,0,5.621509972988861,0.0,0.1865169069787953,5.606365679996088,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_069/p3_n5/strong/summary.json,10796,10673,10673
case_046,1,4,strong,lowcore,success,120451,5079200,16,16,0,0,6.375734034983907,0.0,0.6051143560325727,6.366411496012006,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p1_n4/strong/summary.json,120451,120451,120451
case_009,1,3,joint,lowcore,success,86763,235148,16,16,0,0,76.3990464139788,5.068822095025098,9.410105501941871,57.4354996990005,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/summary.json,91779,86763,86763
case_095,1,4,joint,lowcore,success,524422,0,16,16,0,0,53.28398539900081,1.798883476993069,2.866711895010667,35.45959431299707,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_095/p1_n4/joint/summary.json,524422,524422,524422
case_051,1,4,strong,lowcore,success,288232,9111070,16,16,0,0,11.746275077981409,0.0,1.6734128379903268,11.735730954998871,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p1_n4/strong/summary.json,288239,288232,288232
case_009,3,4,joint,lowcore,success,78916,1340300,16,16,0,0,41.66226631301106,11.466595449019223,2.579021454002941,23.59081048402004,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p3_n4/joint/summary.json,82513,80997,78916
