case,problem,mature,proxy,wait_joint,joint_time_reduction_vs_mature_pct,mature_copy,joint_copy,joint_hit,mature_seconds,joint_seconds
case_044,1,96349,96349,96349,0.0,222208,222208,,6.466942978993757,10.35866447997978
case_047,1,162570,190683,190683,-17.292858460970663,3494866,3231082,,145.0176007480186,64.07630755100399
case_051,1,259576,259576,259576,0.0,9111024,9111024,,8.638691649015527,13.5695979980228
case_064,1,15155,15155,15155,0.0,148968,148968,,5.1056236129952595,7.384805821988266
case_069,1,15434,15434,15434,0.0,554768,554768,,6.889697556995088,6.001290352985961
case_075,1,478842,478842,478842,0.0,12535518,12535518,,135.98564341501333,48.141013279004255
case_009,2,49851,44374,44374,10.986740486650215,1285262,1228174,,52.666409958008444,67.38839910397655
case_018,2,197737,196951,197095,0.3246736827199781,4825088,4812800,,24.839029545983067,51.675311483006226
case_053,2,418489,391495,401924,3.9582880314655844,5518068,5448072,,25.138692281005206,159.04874425500748
case_062,2,644927,644927,644927,0.0,7099392,7099392,,28.353304461983498,29.449006751994602
case_080,2,77974,75310,73895,5.231230923128227,2056192,1921024,,9.958727944002021,23.486706569994567
case_090,2,235842,240698,237104,-0.535104010311982,7279104,6952704,,11.703590344986878,25.201220287999604
case_017,3,27146,27678,26934,0.7809622043763342,340992,339840,0.27605439346802935,11.805061763996491,24.138277062011184
case_023,3,19711,19152,18049,8.431840089290244,280992,279968,0.20453537416695625,8.027112117997603,16.67550535299233
case_044,3,43210,43210,43210,0.0,1021280,1021280,0.15612038358164382,8.399616855982458,10.641850190993864
case_046,3,58096,57496,56568,2.630129440925366,2653984,2582304,0.5752320206399828,5.617683023010613,7.596373022010084
case_080,3,73626,74411,73308,0.43191263955667525,4251648,4255744,0.35531419705197825,14.09610085299937,20.099161102989456
case_090,3,194679,194575,194575,0.053421272967291156,7772160,7130112,0.5883316480250939,12.502867791015888,27.561384669999825
