case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_071,2,3,frontier,8596,281740,2.200907398790135,24,0,4.453275323001435,0.010830323997652158,11536,8818,8818,8596
case_023,3,3,mature,27184,196896,4.510520894643908,24,0,5.793222498003161,0.0,29841,27184,27184,27184
case_046,2,3,mature,79308,1860800,3.4858400161396075,16,0,3.481603483989602,0.0,79308,79308,79308,79308
case_071,3,3,mature,10257,257388,1.8444964414546163,24,0,4.845262029994046,0.0,11040,10969,10969,10257
case_035,3,3,mature,82086,0,2.0657724825183346,24,0,20.196830615022918,0.0,88438,82086,82086,82086
case_071,2,3,mature,8818,281740,2.1454978453163984,24,0,4.348953173001064,0.0,11536,8818,8818,8818
case_095,2,3,frontier,361155,0,5.772737467292437,24,0,28.311439515993698,0.11093024499132298,361155,361155,361155,361155
case_009,3,3,mature,85598,38400,1.7904740764971143,24,0,30.23820876100217,0.0,85607,85598,85598,85598
case_095,2,3,mature,361155,0,5.772737467292437,24,0,27.321195711992914,0.0,361155,361155,361155,361155
case_035,2,3,frontier,80191,102400,2.1145889189559925,24,0,17.975678531016456,0.06693722700583749,88438,88438,88438,80191
case_066,3,3,mature,179489,5310910,2.0005125662296854,24,0,48.38484610200976,0.0,179489,179489,179489,179489
case_046,3,3,mature,79308,1860800,3.4858400161396075,24,0,6.650234585977159,0.0,79308,79308,79308,79308
case_035,2,3,mature,88438,0,1.9173997602840407,24,0,20.114343470020685,0.0,88438,88438,88438,88438
case_066,2,3,frontier,163919,5310910,2.190533129167455,24,0,53.438236934976885,0.12446503402316011,185752,165249,165249,163919
case_053,2,3,frontier,420703,1313356,3.5005360075873004,24,0,103.63223935200949,0.3664299759839196,420932,420932,420932,420703
case_046,2,3,frontier,79308,1860800,3.4858400161396075,17,0,5.215083846007474,0.018782442988594994,79308,79308,79308,79308
case_066,3,3,frontier,156078,5310910,2.3005804789912734,24,0,63.78265191797982,0.12360289099160582,179489,179489,179489,156078
case_095,3,3,frontier,361155,0,5.772737467292437,24,0,42.51080467799329,0.16419542900985107,361155,361155,361155,361155
case_071,3,3,frontier,7601,257388,2.4890146033416656,24,0,6.723160004999954,0.012018593988614157,11040,10969,10969,7601
case_046,3,3,frontier,79308,1860800,3.4858400161396075,24,0,7.849863038019976,0.015471994003746659,79308,79308,79308,79308
case_035,3,3,frontier,80191,102400,2.1145889189559925,24,0,32.22365512797842,0.10983185400255024,88438,82086,82086,80191
case_053,3,3,frontier,420703,1313356,3.5005360075873004,24,0,128.86951748499996,0.4576133930240758,420932,420932,420932,420703
case_009,3,3,frontier,79991,95232,1.9159780475303472,24,0,52.129375169984996,0.14884048598469235,85607,85598,85598,79991
case_095,3,3,mature,361155,0,5.772737467292437,24,0,40.95576620899374,0.0,361155,361155,361155,361155
case_023,2,3,frontier,25878,225568,4.738155962593709,24,0,7.717833808012074,0.023962704988662153,29841,27184,27184,25878
case_066,2,3,mature,165249,5310910,2.1729027104551313,24,0,62.37994663399877,0.0,185752,165249,165249,165249
case_023,3,3,frontier,25878,225568,4.738155962593709,24,0,7.836044513009256,0.022944931988604367,29841,27184,27184,25878
case_053,2,3,mature,420932,1219468,3.498631607955679,24,0,116.96762926701922,0.0,420932,420932,420932,420932
case_053,3,3,mature,420932,1219468,3.498631607955679,24,0,116.25542833900545,0.0,420932,420932,420932,420932
case_009,2,3,mature,85607,24576,1.790285841111124,24,0,35.90407024099841,0.0,85607,85607,85607,85607
case_023,2,3,mature,27184,196896,4.510520894643908,24,0,5.969650592014659,0.0,29841,27184,27184,27184
case_009,2,3,frontier,80002,74240,1.9157146071348217,24,0,30.348548195004696,0.08791976698557846,85607,85607,85607,80002
