cores,count,mean_same_core_ratio,mean_hit_rate,pooled_hit_rate,same_plan_count
1,100,0.9998585542801375,0.03761219141546903,0.08427023922260989,92
2,100,0.9981453629542237,0.14586081542465093,0.2380528601837007,67
3,100,1.0141698747674603,0.18759820002187766,0.26498812174542963,62
4,100,1.0234798187923957,0.21307051466525354,0.3013572545773965,55
5,100,1.0517990146616965,0.2528532357708029,0.3409386969756455,43
