case,makespan,plan_sha256,hit_rate,peak_cache_bytes,evicted_entries,hit_count,hit_bytes,first_miss_count,first_miss_bytes,pre_first_insert_repeat_miss_count,pre_first_insert_repeat_miss_bytes,post_eviction_miss_count,post_eviction_miss_bytes,oversize_miss_count,oversize_miss_bytes,ddr_busy_cycles,cache_busy_cycles,simultaneous_pools_cycles,max_ddr_concurrency,max_cache_concurrency
case_031,273027,e4e61f63bb23944bc2beef8aba2f18c9d6d10db33e5f49cbeb5aeca944f839e9,0.42688383404925023,1048576,963,818,4008960,562,2195828,55,337920,645,2848512,0,0,90863,16490,5775,6,3
case_032,10059,a6ab576a049d9a38910a54bff21509de620142c0fbe390870ef60492228fd58d,0.02776321978095814,287348,0,5,8264,155,287348,1,2048,0,0,0,0,5380,37,36,6,1
case_033,349144,55857776cabdbe5e68a15d6959f71ee771f7bba935e87fcbf150c23771ec54e3,0.42679368570382714,1048576,850,841,4495872,551,3180080,40,197248,489,2660864,0,0,107454,18403,4781,9,3
case_034,150655,9e1444e75742bf6053299798d07113012196060be8c7782fc1dd97369ee344ad,0.5130272621207785,1048098,289,804,2610176,599,2279984,57,197632,0,0,0,0,41934,11000,3279,7,5
case_035,40778,00a42463894648589a3e2949a5e0b85e05b328ad3af558a38c31b66d59dc0e0a,0.34067248273355144,711688,0,368,374876,867,711688,20,13836,0,0,0,0,20845,1830,862,8,4
case_036,187182,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a,0.0,1048576,545,0,0,801,3277952,4,4608,0,0,0,0,110500,0,0,10,0
case_037,43013,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629,0.3421875,532480,0,159,448512,180,532480,141,329728,0,0,0,0,16015,1911,1256,10,4
case_038,267123,ca4964acbb43fb56e044328548b9b950b6ee303f2340c588a160e46ab734302c,0.6048890962145632,1048576,962,2007,6916608,806,2794506,25,90624,450,1632768,0,0,76393,29052,7591,6,4
case_039,288160,32fcdc4f23f90cc4e87ca77ade9fe735315623912ed70282aaec693494bba98e,0.6485984464707869,1048576,965,2561,15732736,672,4308992,250,2048000,516,2166784,0,0,149570,64017,27594,8,5
case_040,57659,d4e95a168c2fc578b122f6f16670a5724c8596d9ebe1de56c72c8b2f935544e3,0.24838614609894547,1048558,256,260,581544,772,1577472,31,67586,7,114688,0,0,44699,2537,2059,10,2
case_041,1191935,f4279e3316d6c7fdbcae9d0738c9176f4276c3d379c3cf2e4ec8e4ee9ea17926,0.3202129810608614,1048576,6139,3405,14595072,1061,4948992,60,251904,5317,25783296,0,0,521318,60417,18329,8,4
case_042,347203,c78f17cbe3b0e6efb15845e933dd727aa1175c859024621fe09bc0810892b89b,0.27289588388255287,1048576,1207,647,2810880,557,3167008,32,165888,885,4156416,0,0,139818,11636,5865,6,3
case_043,219768,672e4dffd2414e7909ddd6bcd7961b94553052352197a48386335eff05fb20f2,0.3627891029022105,1048568,192,336,1049612,555,1828198,5,15360,2,4,0,0,37863,4436,2145,6,3
case_044,43790,ef35f73a1f2552bf432b1bbcbef50756595da741b6b20b4bb69297e5136f08ff,0.0015122166717640262,952928,0,9,2848,61,952928,41,927552,0,0,0,0,31780,19,19,2,1
case_045,25770,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534,0.0,278528,0,0,0,68,278528,0,0,0,0,0,0,9384,0,0,10,0
case_046,77846,06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d,0.0,995936,0,0,0,58,995936,150,2791200,0,0,0,0,64312,0,0,4,0
case_047,83861,d0e1cf20911921ad8ce4e34dbcd7b98b82f29baddfa31cea8eb49b33f0aaef33,0.4415147875650962,1048550,12,1177,916824,1853,1061094,103,98624,0,0,0,0,40061,4745,2129,10,3
