case,cores,p2_time,p3_time,ratio_p2_over_p3,same_plan,p2_added_copy,p3_added_copy,hit_bytes,miss_bytes,hit_rate
case_037,4,53320,53320,1.0,True,614400,614400,0,1146880,0.0
case_038,4,334329,333874,1.0013627895553412,False,6673920,6676992,6250496,3159562,0.6642356508323328
case_039,4,376811,363337,1.0370840294272259,False,10199040,17469440,13053952,8491008,0.605893536121673
case_040,4,100416,103595,0.9693131907910614,False,53760,53760,53760,911174,0.05571365502718321
case_041,4,1485492,1483911,1.0010654277783506,True,36000768,36000768,16576512,21669888,0.4334136546184739
case_042,4,430772,426450,1.010134834095439,False,8766464,7608608,5904672,3265312,0.6439130100990361
case_043,4,219424,219046,1.0017256649288278,False,1434420,1443636,644108,1835370,0.2597756463255572
case_044,4,53880,43790,1.230417903630966,False,1860800,930400,2848,1880480,0.0015122166717640262
case_045,4,31878,31878,1.0,True,0,0,0,278528,0.0
case_046,4,77846,77846,1.0,True,2791200,2791200,0,3787136,0.0
case_047,4,92456,91015,1.0158325550733396,False,2149778,2152850,714642,1031654,0.4092330280777142
case_048,4,96007,97526,0.9844246662428481,False,1005518,788560,186064,694534,0.21129278058773696
case_049,4,97027,92298,1.0512362131357127,False,4946702,4940558,329810,2320614,0.1244366939025605
case_050,4,96357,44303,2.1749542920343994,False,10368,1237226,337596,725496,0.3175604745403032
case_051,4,179465,178974,1.0027434152446724,True,197848,197848,196700,393744,0.3331391291976885
case_052,4,36758,36746,1.0003265661568606,False,259584,259584,218112,851516,0.2039138840793248
case_053,4,372834,372834,1.0,True,2212940,2212940,8,5038138,1.5878857023992556e-06
case_054,4,325215,380525,0.8546481834307864,False,15529920,15529916,1262426,8331314,0.13158851501082997
case_055,4,21855,21340,1.024133083411434,True,115712,115712,99328,642076,0.13397284071842072
case_056,4,128413,122012,1.0524620529128283,False,6419106,6410910,527546,2977572,0.150507343832647
case_057,4,14026,14026,1.0,True,288,288,288,336588,0.0008549139742813379
case_058,4,1132993,1115407,1.0157664422045047,False,34217984,43626496,13447168,35868672,0.27267441860465114
case_059,4,185216,185216,1.0,True,1081344,1081344,0,2162688,0.0
case_060,4,194395,191705,1.0140319762134529,False,3667328,3841408,2465024,3298984,0.4276579768799766
case_061,4,21539,21539,1.0,True,62208,62208,47360,558884,0.07812036077882832
case_062,4,837396,837427,0.9999629818479701,False,10082304,10079232,0,18439680,0.0
case_063,4,263190,302216,0.870867194324589,False,6047232,2709504,0,6374400,0.0
case_064,4,8662,9079,0.9540698314792379,False,119534,122668,40202,69608,0.36610509061105545
case_065,4,9773,9505,1.0281956864807995,False,41616,41616,23184,318152,0.06792134436449715
case_066,4,149660,137522,1.0882622416776953,False,5776218,5776218,1090734,3315860,0.24752314372506293
case_067,4,14818727,14790697,1.0018951101493054,False,68594816,68594816,10747520,34025344,0.24004539892735027
case_068,4,129343,114757,1.1271033575293883,True,4068370,4068370,1420402,4278386,0.24924633097423524
case_069,4,10675,9941,1.0738356302182879,False,433744,433744,161676,239770,0.4027341161700453
case_070,4,24990,24990,1.0,True,360960,360960,122368,658450,0.15671769861862817
case_071,4,9143,8316,1.0994468494468495,False,318862,318862,131532,190584,0.40833736914651864
case_072,4,5882529,5854470,1.0047927481052938,False,121713128,121721176,42444280,90361710,0.31959612665061266
case_073,4,2222608,2121971,1.0474261900845958,True,11164800,11164800,11161344,3884800,0.7418076020008847
case_074,4,402467,400221,1.0056118994255674,True,6586368,6586368,6189056,4018200,0.6063388632557075
case_075,4,432473,424548,1.018666911633078,False,12219250,12223346,2415632,6388984,0.27435972221843635
case_076,4,1533322,1531522,1.00117530143217,True,33551360,33551360,14157824,23518208,0.3757780012502378
case_077,4,118637,115215,1.0297009937942108,False,188416,221184,163840,2174028,0.07008094554525747
case_078,4,515192,515192,1.0,True,6445440,6445440,0,8692224,0.0
case_079,4,7465676,7473390,0.9989678044368084,False,52277248,40062976,3366912,42508288,0.07339285714285715
case_080,4,85451,84651,1.0094505676247179,False,1650688,4190208,3047424,3047424,0.5
case_081,4,39588,39588,1.0,True,0,0,0,1044820,0.0
case_082,4,206265,203902,1.0115889005502643,False,6538482,6530034,923728,3166456,0.2258402066997475
case_083,4,210367,210367,1.0,True,2791200,2791200,2790336,1185216,0.7018738529894717
case_084,4,319932,319932,1.0,True,0,0,0,9927786,0.0
case_085,4,929675,988028,0.9409399328763962,False,33196594,33196594,2480366,16507770,0.13062714528693076
case_086,4,43989,38497,1.1426604670493805,False,1946800,1780850,545104,862056,0.3873788339634441
case_087,4,956871,954587,1.002392657767181,True,12125012,12125012,3649538,14227598,0.2041455633609321
case_088,4,85296,77521,1.10029540382606,True,2703122,2703122,934990,2889478,0.2444758329785999
case_089,4,147992,147992,1.0,True,716160,716160,0,1118720,0.0
case_090,4,290754,259168,1.121874614149895,False,6445440,6445440,1570464,7063392,0.18189601494396015
case_091,4,2286955,2263593,1.0103207599599398,True,69345792,69345792,35386880,40451584,0.46660860641903296
case_092,4,971654,957768,1.0144982918619123,True,6264608,6264608,1712768,4908800,0.2586650171077304
case_093,4,19545,19475,1.003594351732991,False,28672,28672,22528,577536,0.03754266211604096
case_094,4,18815,18815,1.0,True,318816,318816,157536,632608,0.1993763162157784
case_095,4,273250,273250,1.0,True,0,0,0,8516508,0.0
case_096,4,26984,26984,1.0,True,78336,78336,78336,210260,0.2714382735727453
case_097,4,2577788,2583365,0.9978411877531824,False,7667712,7718912,7534592,4419584,0.6302895322939867
case_098,4,52286,52728,0.9916173570019724,False,809756,921372,278592,1033608,0.21230909922267946
case_099,4,400362,400362,1.0,True,5652480,5652480,5414912,2771200,0.6614754354692435
case_100,4,58086,58086,1.0,True,144384,144384,144384,436006,0.24877065421526903
case_001,5,47502,47502,1.0,True,4608,4608,0,824960,0.0
case_002,5,51909,59289,0.875524970905227,False,663552,642048,0,1543680,0.0
case_003,5,269541,238032,1.1323729582577133,False,13187602,13187602,2539862,6298948,0.2873533880692084
case_004,5,83319,82161,1.014094278307226,False,712704,457728,187392,715776,0.20748299319727892
case_005,5,40901,32209,1.2698624608028812,False,1937016,1783126,632654,792590,0.4438917125769342
case_006,5,31729,31729,1.0,True,63616,63616,54400,552480,0.0896388083311363
case_007,5,196870,196870,1.0,True,110592,110592,0,990720,0.0
case_008,5,55855,55855,1.0,True,0,0,0,1990872,0.0
case_009,5,42596,37274,1.1427804904222783,False,1332918,1327286,502588,861130,0.36854246992413386
case_010,5,19138,18774,1.0193885160328113,False,554512,554512,258242,555252,0.31744794675805843
case_011,5,46253,46253,1.0,False,1624064,1626112,1179648,983040,0.5454545454545454
case_012,5,12279,12272,1.000570404172099,True,49536,49536,29184,504448,0.05468937395058767
case_013,5,54130,53849,1.0052182956043751,False,36864,36864,28672,2029568,0.013930348258706468
case_014,5,3584500,3574405,1.002824246273156,True,88929456,88929456,26425344,72415752,0.2673517905952803
case_015,5,33367,32109,1.039179046373291,True,313344,313344,278272,919554,0.23231420924241084
case_016,5,2242754,1969433,1.1387815680959952,False,247668,40355696,362272,20389016,0.017457807920163798
case_017,5,27587,25560,1.0793035993740219,True,330624,330624,232320,633422,0.2683478449699795
case_018,5,196754,196222,1.002711214848488,True,4681728,4681728,4326656,1947668,0.6895812202238839
case_019,5,22206,22206,1.0,False,81504,80224,16736,239668,0.06527199263662033
case_020,5,107187,107187,1.0,True,0,0,0,1179648,0.0
case_021,5,1250168,1248894,1.0010201025867689,False,11431936,28798976,7550976,14080000,0.34908161333080856
case_022,5,11654,11713,0.9949628617775121,False,20736,13824,13824,213540,0.060801182245210326
case_023,5,17694,16725,1.0579372197309418,True,280992,280992,92576,622538,0.129456282494819
case_024,5,746405,656897,1.1362588046527842,False,235428,13604768,361048,7014776,0.048950191870088006
case_025,5,942350,942350,1.0,True,118272,118272,46080,4191744,0.010873504893077202
case_026,5,30215,25514,1.1842517833346398,False,891952,887856,328468,807610,0.28912451433792397
case_027,5,448117,448117,1.0,False,16119808,16119808,2772992,8775680,0.2401134953005852
case_028,5,8032082,7970583,1.0077157467653244,True,22602240,22602240,6441552,13185072,0.3282047895756295
case_029,5,9383,9383,1.0,True,0,0,0,258132,0.0
case_030,5,559702,559381,1.000573848593356,False,8702976,10494976,8644608,3358720,0.7201842688960928
case_031,5,273131,273027,1.0003809147080691,False,7215360,7217408,4008960,5382260,0.42688383404925023
case_032,5,10396,10059,1.0335023362163236,False,12360,26696,8264,289396,0.02776321978095814
case_033,5,349438,349144,1.000842059436794,False,7936128,7934592,4495872,6038192,0.42679368570382714
case_034,5,150655,150655,1.0,True,2807808,2807808,2610176,2477616,0.5130272621207785
case_035,5,80677,40778,1.9784442591593507,False,0,1130532,374876,725524,0.34067248273355144
case_036,5,187182,187182,1.0,True,4608,4608,0,3282560,0.0
case_037,5,43013,43013,1.0,True,778240,778240,448512,862208,0.3421875
case_038,5,269823,267123,1.010107703192911,False,8643072,8640000,6916608,4517898,0.6048890962145632
case_039,5,308167,288160,1.0694301776790671,False,10448896,20160512,15732736,8523776,0.6485984464707869
case_040,5,100854,57659,1.749145840198408,False,66048,2288112,581544,1759746,0.24838614609894547
case_041,5,1195034,1191935,1.0025999739918703,False,36806656,40630272,14595072,30984192,0.3202129810608614
case_042,5,349483,347203,1.0065667635360294,True,8738816,8738816,2810880,7489312,0.27289588388255287
case_043,5,220742,219768,1.0044319464162208,False,1865524,1859380,1049612,1843562,0.3627891029022105
case_044,5,43839,43790,1.0011189769353734,True,930400,930400,2848,1880480,0.0015122166717640262
case_045,5,25770,25770,1.0,True,0,0,0,278528,0.0
case_046,5,77846,77846,1.0,True,2791200,2791200,0,3787136,0.0
case_047,5,87055,83861,1.0380868341660605,False,2698072,2696024,916824,1159718,0.4415147875650962
case_048,5,94648,97672,0.9690392333524449,False,880530,805526,184022,704838,0.207031478523052
case_049,5,102732,95813,1.0722135827079833,False,5301640,5284936,430072,2392176,0.1523863246603417
case_050,5,96590,96617,0.9997205460736723,False,13824,16128,11520,321604,0.034581717318476
case_051,5,180878,161479,1.1201332681029732,False,230808,3507604,360586,1966656,0.15494134258491382
case_052,5,33407,31139,1.0728347088859629,False,328704,328704,215808,922940,0.1895133954132082
case_053,5,374457,374457,1.0,True,3247692,3247692,124616,5948282,0.020520021907168538
case_054,5,318908,356049,0.8956857061808908,False,15559744,15561792,1684336,8037250,0.17325732653087675
case_055,5,19824,19462,1.0186003493988285,False,198656,198656,162816,661532,0.19750881909096643
case_056,5,131597,122274,1.076246789996238,False,6688132,6671748,623744,3025636,0.17091779973584553
case_057,5,14372,14372,1.0,True,27936,27936,27936,336588,0.07663692925568687
case_058,5,912500,896066,1.0183401669073484,True,35528704,35528704,12673024,28565504,0.3073102900278109
case_059,5,150736,150736,1.0,False,1757184,4325376,3989504,1417216,0.7378787878787879
case_060,5,163289,158821,1.028132299884776,False,3740032,3588480,2333952,3279528,0.41577630988263964
case_061,5,21711,21711,1.0,True,83712,83712,58112,569636,0.09257217864493396
case_062,5,691726,690990,1.0010651384245792,False,9784320,9735168,0,18267648,0.0
case_063,5,208430,250837,0.8309380195106782,False,3350016,2998272,0,6518784,0.0
case_064,5,8559,8628,0.9920027816411683,False,130674,130674,45874,68086,0.4025447525447525
case_065,5,8456,8163,1.0358936665441627,True,55584,55584,37152,318152,0.10456397901515323
case_066,5,143083,124922,1.145378716318983,True,6000546,6000546,1315266,3218800,0.29008532297500744
case_067,5,12508969,12474515,1.002761951065833,True,17327616,17327616,3720448,17271424,0.1772327880048049
case_068,5,132141,114148,1.1576286925745523,True,4188824,4188824,1439608,4310252,0.2503727047267238
case_069,5,11517,10246,1.1240484091352723,False,494258,448496,152844,238362,0.39069952914832595
case_070,5,22310,20916,1.066647542551157,True,462848,462848,195584,687122,0.2215732078404361
case_071,5,9399,7982,1.1775244299674268,False,377650,362354,146992,197304,0.42693496293886657
case_072,5,4738064,4697439,1.0086483294407869,False,140559024,129737392,45856232,94974166,0.3256131676912537
case_073,5,1846409,1713089,1.0778243278662112,False,14886400,14886400,14844928,3922816,0.7909809511468188
case_074,5,331396,324729,1.0205309658207304,True,8142848,8142848,6766592,4685848,0.5908428247604878
case_075,5,396278,378486,1.0470083437696507,False,13510296,13502104,3006680,6466054,0.3174036133601978
case_076,5,1232360,1226840,1.0044993642202733,False,38114304,36488192,21808128,18949120,0.5350736143912366
case_077,5,102246,101185,1.0104857439343777,True,1165830,1165830,94208,2758994,0.033018342199395624
case_078,5,483929,460314,1.0513019373731844,False,13886976,13883904,4298040,9187656,0.31871102537088186
case_079,5,6023990,6022654,1.0002218291138758,False,49864704,49926144,11888640,43812864,0.21343481138318995
case_080,5,75882,72871,1.0413195921560017,True,1904640,1904640,1146880,2662400,0.3010752688172043
case_081,5,30943,30943,1.0,True,0,0,0,1044820,0.0
case_082,5,210560,192108,1.0960501384637809,False,8635512,8275254,1529554,3529562,0.30233621842234887
case_083,5,184594,184594,1.0,True,3721600,3721600,930112,3975840,0.18958848353999386
case_084,5,256584,256584,1.0,True,0,0,0,9927786,0.0
case_085,5,881711,918105,0.9603596538522282,False,38447480,38446456,5486640,16556574,0.24890381230250724
case_086,5,48477,39500,1.2272658227848101,False,2347960,2345464,768978,971228,0.44188906370854947
case_087,5,797842,790292,1.0095534308837746,False,13390484,13367444,4999682,14120750,0.2614837363507268
case_088,5,87617,75604,1.1588937093275489,False,2844972,2836780,1003924,2859534,0.2598511488930383
case_089,5,118946,119306,0.9969825490754866,False,954880,954880,0,1357440,0.0
case_090,5,260978,194679,1.3405554785056426,True,8593920,8593920,5463720,5318616,0.5067287830763204
case_091,5,1861618,1820358,1.0226658712187382,True,74683904,74683904,42686688,38457120,0.5260621734686152
case_092,5,784691,785869,0.9985010224350369,True,3950976,3950976,975488,4954464,0.16450183745163535
case_093,5,15630,15664,0.997829417773238,False,32768,32768,20480,585728,0.033783783783783786
case_094,5,17170,16243,1.0570707381641322,False,304256,259200,162144,568384,0.22195453151693023
case_095,5,220188,220188,1.0,True,0,0,0,8516508,0.0
case_096,5,27019,23645,1.1426940156481287,False,141952,1298500,313742,710440,0.3063342257528447
case_097,5,2094984,2094984,1.0,True,17039360,17039360,16699392,4599808,0.7840384615384616
case_098,5,47792,43258,1.1048129825696982,False,1214344,1214340,565350,1024410,0.35561971618357485
case_099,5,321604,321604,1.0,True,7065600,7065600,6819840,2779392,0.7104568365469237
case_100,5,58085,58085,1.0,True,211968,211968,211968,436006,0.327124236466278
