library,problem,cores,statement_mean_speedup,optimized_onecore_reference_ratio,count
cold,1,1,1.0,1.050426383132428,100
cold,1,2,1.8598442711709113,,100
cold,1,3,2.5598597564576204,,100
cold,1,4,3.2039010190261967,,100
cold,1,5,3.70923027994506,,100
cold,2,1,1.0,1.2013255934225044,100
cold,2,2,2.2529547829231276,,100
cold,2,3,3.1150579361152504,,100
cold,2,4,3.8538026320509404,,100
cold,2,5,4.441568937258096,,100
cold,3,1,1.0,1.2011758384475673,100
cold,3,2,2.2499952422094984,,100
cold,3,3,3.1440123833745535,,100
cold,3,4,3.906852452935665,,100
cold,3,5,4.599476084821274,,100
selected,1,1,1.0,1.0514767837983148,100
selected,1,2,1.882584420592735,,100
selected,1,3,2.606773011284317,,100
selected,1,4,3.2931812201101183,,100
selected,1,5,3.9075240776844127,,100
selected,2,1,1.0,1.2013255934225044,100
selected,2,2,2.262402131304665,,100
selected,2,3,3.167710058569076,,100
selected,2,4,3.913319737124961,,100
selected,2,5,4.726023695868106,,100
selected,3,1,1.0,1.2011758384475673,100
selected,3,2,2.2637194092872623,,100
selected,3,3,3.1883774486562833,,100
selected,3,4,3.969323404996108,,100
selected,3,5,4.869796170198467,,100
