library,case,cores,no_l2_makespan,l2_makespan,no_l2_added_copy,l2_added_copy,same_core_p2_over_p3,same_plan_hash,interpretation
cold,case_062,1,2854809,2854809,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_063,1,1070397,1070397,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_064,1,16277,16277,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_065,1,29854,29854,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_066,1,280637,280637,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_067,1,60066399,60066399,29110272,29110272,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_068,1,256826,256826,627670,627670,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_069,1,19752,19752,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_070,1,92008,92008,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_071,1,14377,14377,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_072,1,23454874,23444619,88848864,88848864,1.000437413804848,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_073,1,8206775,8206775,188416,188416,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_074,1,1607310,1605014,2392092,2392092,1.0014305171169846,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_075,1,1138789,1138789,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_076,1,6116671,6116632,22736896,22736896,1.0000063760579352,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_077,1,418664,418664,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_078,1,2061245,2061245,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_079,1,30161480,30801806,67907584,35608576,0.9792114137722964,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_080,1,289509,289509,827392,827392,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_081,1,151795,151795,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_082,1,597412,597412,960396,960396,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_083,1,823296,823296,131072,131072,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_084,1,1268652,1268652,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_085,1,2707438,2707438,10144936,10144936,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_086,1,92756,92756,171086,171086,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_087,1,3660759,3660005,8097756,8097756,1.0002060106475263,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_088,1,182214,182110,461958,461958,1.0005710834111252,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_089,1,589412,589412,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_090,1,840883,840883,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_091,1,9040424,9038981,38763680,38763680,1.0001596418888368,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_092,1,3945094,3958435,56614784,34696704,0.9966297286680216,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_093,1,74205,74205,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_094,1,71257,71257,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_095,1,1073865,1073865,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_096,1,54774,54774,137216,137216,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_097,1,10419693,10419693,34676736,34676736,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_098,1,169595,169429,1566248,1566248,1.000979761433993,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_099,1,1596164,1596164,6086016,6086016,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_100,1,139277,139277,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_001,2,116868,116868,1152,1152,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_002,2,129232,129739,4205568,4348416,0.9960921542481443,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_003,2,281188,279980,7582218,7582474,1.0043145938995643,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_004,2,194802,194802,125952,125952,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_005,2,40820,40429,710982,710982,1.009671275569517,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_006,2,40612,40612,3456,3456,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
