batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p1_seed17,case_009,1,5,17,operation,0,92225,92225,8,0.1278677920345217
full_p1_seed17,case_010,1,2,17,component,0,,45626,4,0.026530042057856917
full_p1_seed17,case_010,1,2,17,operation,0,45626,45626,8,0.021513208048418164
full_p1_seed17,case_010,1,3,17,component,0,,30689,4,0.04518870799802244
full_p1_seed17,case_010,1,3,17,operation,0,30689,30689,8,0.018149625044316053
full_p1_seed17,case_010,1,4,17,component,0,,29856,4,0.06646454194560647
full_p1_seed17,case_010,1,4,17,operation,0,29856,29856,8,0.016259208088740706
full_p1_seed17,case_010,1,5,17,component,0,,30054,4,0.08621754194609821
full_p1_seed17,case_010,1,5,17,operation,0,30054,30054,8,0.015931167057715356
full_p1_seed17,case_011,1,2,17,component,0,,92646,4,0.035215833922848105
full_p1_seed17,case_011,1,2,17,operation,0,92646,92646,8,0.017040375038050115
full_p1_seed17,case_011,1,3,17,component,0,,69625,4,0.09199745894875377
full_p1_seed17,case_011,1,3,17,operation,0,69625,69625,8,0.019867041963152587
full_p1_seed17,case_011,1,4,17,component,0,,46880,4,0.13741770794149488
full_p1_seed17,case_011,1,4,17,operation,0,46880,46880,8,0.01766345906071365
full_p1_seed17,case_011,1,5,17,component,0,,47287,4,0.19544808403588831
full_p1_seed17,case_011,1,5,17,operation,0,47287,47287,8,0.01811045897193253
full_p1_seed17,case_012,1,2,17,component,0,,29964,4,0.04395433305762708
full_p1_seed17,case_012,1,2,17,operation,0,29964,29964,8,0.030454040970653296
full_p1_seed17,case_012,1,3,17,component,0,,19924,4,0.125761125003919
full_p1_seed17,case_012,1,3,17,operation,0,19924,19924,8,0.03146195795852691
full_p1_seed17,case_012,1,4,17,component,0,,17253,4,0.14962883293628693
full_p1_seed17,case_012,1,4,17,operation,0,17253,17253,8,0.03021916700527072
full_p1_seed17,case_012,1,5,17,component,0,,14139,4,0.1962657090043649
full_p1_seed17,case_012,1,5,17,operation,0,14139,14139,8,0.03537016606424004
full_p1_seed17,case_013,1,2,17,component,0,,132198,4,0.05669637501705438
full_p1_seed17,case_013,1,2,17,operation,0,132198,132198,8,0.06588083400856704
full_p1_seed17,case_013,1,3,17,component,0,,88351,4,0.11243187496438622
full_p1_seed17,case_013,1,3,17,operation,0,88351,88351,8,0.06850433303043246
full_p1_seed17,case_013,1,4,17,component,0,,66982,4,0.19173983403015882
full_p1_seed17,case_013,1,4,17,operation,0,66982,66982,8,0.0939263750333339
full_p1_seed17,case_013,1,5,17,component,0,,54363,4,0.24557300005108118
full_p1_seed17,case_013,1,5,17,operation,0,54363,54363,8,0.08220195805188268
full_p1_seed17,case_015,1,2,17,component,0,,87789,4,0.05842091701924801
full_p1_seed17,case_015,1,2,17,operation,0,87789,87789,8,0.03597266704309732
full_p1_seed17,case_015,1,3,17,component,0,,61193,4,0.09468970797024667
full_p1_seed17,case_015,1,3,17,operation,0,61193,61193,8,0.03431770903989673
full_p1_seed17,case_015,1,4,17,component,0,,50093,4,0.15831016702577472
full_p1_seed17,case_015,1,4,17,operation,0,50093,50093,8,0.03318949998356402
full_p1_seed17,case_015,1,5,17,component,0,,43411,4,0.19005350000225008
full_p1_seed17,case_015,1,5,17,operation,0,43411,43411,8,0.034786207950674
full_p1_seed17,case_016,1,2,17,component,0,,7715523,1,0.03850895899813622
full_p1_seed17,case_016,1,2,17,operation,0,7715523,7715523,8,0.48357499996200204
full_p2_seed17,case_001,2,2,17,component,0,,116868,4,0.013402958051301539
full_p2_seed17,case_001,2,2,17,operation,0,116868,116868,5,0.016805917024612427
full_p2_seed17,case_001,2,2,17,trace,0,116868,116868,0,0.005148291937075555
full_p2_seed17,case_001,2,3,17,component,0,,78545,4,0.02451645804103464
full_p2_seed17,case_001,2,3,17,operation,0,78545,78545,5,0.02337558299768716
full_p2_seed17,case_001,2,3,17,trace,0,78545,78545,1,0.005970875034108758
full_p2_seed17,case_001,2,4,17,component,0,,58984,4,0.042310292017646134
full_p2_seed17,case_001,2,4,17,operation,0,58984,58984,5,0.026930749998427927
full_p2_seed17,case_001,2,4,17,trace,0,58984,58984,0,0.008571292040869594
full_p2_seed17,case_001,2,5,17,component,0,,47502,4,0.07072170788887888
full_p2_seed17,case_001,2,5,17,operation,0,47502,47502,5,0.03180458303540945
full_p2_seed17,case_001,2,5,17,trace,0,47502,47502,0,0.005664958036504686
full_p2_seed17,case_002,2,2,17,component,0,,261945,1,0.0018995000282302499
full_p2_seed17,case_002,2,2,17,operation,0,261945,129739,8,0.05241891706828028
full_p2_seed17,case_002,2,2,17,trace,0,129739,126927,12,0.06626520794816315
full_p2_seed17,case_002,2,3,17,component,0,,261945,1,0.002153708948753774
full_p2_seed17,case_002,2,3,17,operation,0,261945,94385,8,0.10091866599395871
full_p2_seed17,case_002,2,3,17,trace,0,94385,82020,12,0.04350987495854497
full_p2_seed17,case_002,2,4,17,component,0,,261945,1,0.00231291598174721
full_p2_seed17,case_002,2,4,17,operation,0,261945,72029,8,0.11189545795787126
full_p2_seed17,case_002,2,4,17,trace,0,72029,63330,12,0.04281566699501127
full_p2_seed17,case_002,2,5,17,component,0,,261945,1,0.002372915972955525
full_p2_seed17,case_002,2,5,17,operation,0,261945,59289,8,0.14392299996688962
full_p2_seed17,case_002,2,5,17,trace,0,59289,51207,12,0.05651470797602087
full_p2_seed17,case_003,2,2,17,component,0,,538381,4,0.13357337494380772
full_p2_seed17,case_003,2,2,17,operation,0,538381,337267,8,0.5480057090753689
full_p2_seed17,case_003,2,2,17,trace,0,337267,337267,12,0.49864733405411243
full_p2_seed17,case_003,2,3,17,component,0,,538764,4,0.3753362080315128
full_p2_seed17,case_003,2,3,17,operation,0,538764,259816,8,0.9277611250290647
full_p2_seed17,case_003,2,3,17,trace,0,259816,205952,12,0.43081429100129753
full_p2_seed17,case_003,2,4,17,component,0,,539155,4,0.6429505830164999
full_p2_seed17,case_003,2,4,17,operation,0,539155,221655,8,1.5464844579109922
full_p2_seed17,case_003,2,4,17,trace,0,221655,173817,12,0.5587725000223145
full_p2_seed17,case_003,2,5,17,component,0,,539607,4,0.9611995000159368
full_p2_seed17,case_003,2,5,17,operation,0,539607,213029,8,2.0254746249411255
full_p2_seed17,case_003,2,5,17,trace,0,213029,161941,12,0.6258059589890763
full_p2_seed17,case_004,2,2,17,component,0,,199074,4,0.014065374969504774
full_p2_seed17,case_004,2,2,17,operation,0,199074,199074,8,0.03028383303899318
full_p2_seed17,case_004,2,2,17,trace,0,199074,198019,12,0.016707333037629724
full_p2_seed17,case_004,2,3,17,component,0,,134043,4,0.029224209021776915
