case,problem,cores,policy,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,plan_member
case_050,2,5,paired_w200,0,38803,1481220,0.0,0,plans/947280328fb1fd4aaefa49036737c6622594358433f6ea0df0aa64e9aa0d5059.json
case_050,2,5,paired_w200,0.01,38803,1481220,0.0,0,plans/947280328fb1fd4aaefa49036737c6622594358433f6ea0df0aa64e9aa0d5059.json
case_050,2,5,paired_w200,0.03,38803,1481220,0.0,0,plans/947280328fb1fd4aaefa49036737c6622594358433f6ea0df0aa64e9aa0d5059.json
case_050,3,5,legacy,0,96617,16128,0.0,0,plans/f9059cec3aa7024df7bba8fe0818e1e28ee8f7875a04872580aba24166cb7db3.json
case_050,3,5,legacy,0.01,96617,16128,0.0,0,plans/f9059cec3aa7024df7bba8fe0818e1e28ee8f7875a04872580aba24166cb7db3.json
case_050,3,5,legacy,0.03,96617,16128,0.0,0,plans/f9059cec3aa7024df7bba8fe0818e1e28ee8f7875a04872580aba24166cb7db3.json
case_050,3,5,paired_w200,0,34841,1473120,0.0,0,plans/bbb59c5bf2ba2447f020701bdb57fd4b786390fae5c3d7c1027fc70c394e6688.json
case_050,3,5,paired_w200,0.01,34841,1473120,0.0,0,plans/bbb59c5bf2ba2447f020701bdb57fd4b786390fae5c3d7c1027fc70c394e6688.json
case_050,3,5,paired_w200,0.03,34841,1473120,0.0,0,plans/bbb59c5bf2ba2447f020701bdb57fd4b786390fae5c3d7c1027fc70c394e6688.json
case_066,2,5,legacy,0,143083,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,2,5,legacy,0.01,143083,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,2,5,legacy,0.03,143083,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,2,5,paired_w200,0,89257,3267972,0.0,0,plans/ab30ef3613dbce24724996a6b03dea856ce9ef6a90fb1e44820f5b04baf9e1c6.json
case_066,2,5,paired_w200,0.01,89260,3267656,3.3610809236250816e-05,316,plans/577416ade75fe5f1b119daffa73e5e055d46e0ff6cae1e2fd39a489d1de07bb5.json
case_066,2,5,paired_w200,0.03,89260,3267656,3.3610809236250816e-05,316,plans/577416ade75fe5f1b119daffa73e5e055d46e0ff6cae1e2fd39a489d1de07bb5.json
case_066,3,5,legacy,0,124922,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,3,5,legacy,0.01,124922,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,3,5,legacy,0.03,124922,6000546,0.0,0,plans/83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc.json
case_066,3,5,paired_w200,0,81139,3267848,0.0,0,plans/3e876ab88ce3186cf643cf0d9945e26fa539c8f189bb58ddf22447b013918c38.json
case_066,3,5,paired_w200,0.01,81139,3267848,0.0,0,plans/3e876ab88ce3186cf643cf0d9945e26fa539c8f189bb58ddf22447b013918c38.json
case_066,3,5,paired_w200,0.03,83117,3249416,0.02437791937292788,18432,plans/6e6254845afdceb29a8d7ed5726b267a2337e1e290498505e2e2c308d6bed676.json
case_001,2,5,legacy,0,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,2,5,legacy,0.01,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,2,5,legacy,0.03,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,2,5,paired_w200,0,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,2,5,paired_w200,0.01,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,2,5,paired_w200,0.03,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,legacy,0,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,legacy,0.01,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,legacy,0.03,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,paired_w200,0,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,paired_w200,0.01,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_001,3,5,paired_w200,0.03,47502,4608,0.0,0,plans/811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6.json
case_009,2,5,legacy,0,42596,1332918,0.0,0,plans/732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e.json
case_009,2,5,legacy,0.01,42596,1332918,0.0,0,plans/732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e.json
case_009,2,5,legacy,0.03,42596,1332918,0.0,0,plans/732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e.json
case_009,2,5,paired_w200,0,45261,1428774,0.0,0,plans/310e110a16ec8a27ad86141fb7cb7df936910675212cdddb7e2799415d2a20e7.json
case_009,2,5,paired_w200,0.01,45261,1428774,0.0,0,plans/310e110a16ec8a27ad86141fb7cb7df936910675212cdddb7e2799415d2a20e7.json
case_009,2,5,paired_w200,0.03,46352,1427174,0.0241046375466738,1600,plans/c672eb9f381aee673ff619ebea375a056af15bde7234230750e9b1d1a944ce19.json
case_009,3,5,legacy,0,37274,1327286,0.0,0,plans/466ec3afb693248d5f918cb8877998937a7b7d85102e370f56fcf12a1acbc21f.json
case_009,3,5,legacy,0.01,37274,1327286,0.0,0,plans/466ec3afb693248d5f918cb8877998937a7b7d85102e370f56fcf12a1acbc21f.json
case_009,3,5,legacy,0.03,37274,1327286,0.0,0,plans/466ec3afb693248d5f918cb8877998937a7b7d85102e370f56fcf12a1acbc21f.json
case_009,3,5,paired_w200,0,41281,1428774,0.0,0,plans/310e110a16ec8a27ad86141fb7cb7df936910675212cdddb7e2799415d2a20e7.json
case_009,3,5,paired_w200,0.01,41281,1428774,0.0,0,plans/310e110a16ec8a27ad86141fb7cb7df936910675212cdddb7e2799415d2a20e7.json
case_009,3,5,paired_w200,0.03,42003,1406758,0.017489886388411202,22016,plans/bba0c7506f08beb8b94eca4d90ba9323ce667721061f67b41bd8706de0c4fe11.json
case_023,2,5,legacy,0,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,2,5,legacy,0.01,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,2,5,legacy,0.03,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,2,5,paired_w200,0,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,2,5,paired_w200,0.01,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
