suite,id,mode,n,blocks,tile,buffers,rounds,groups,repeats,samples,median_us,p10_us,p90_us,host_median_us,launches,programmed_gm_bytes,logical_GBps,queue_buffer_bytes_per_block,read_workset_bytes,all_outputs_correct
sharing,sharing_000,private,8126464,1,1024,2,1,1,4,30,6720.920085905,6702.003860469,6732.035875324,6836.0395,4,390070272,58.03822497726893,24576,65011712,True
sharing,sharing_001,shared,8126464,1,1024,2,1,1,4,30,6718.75,6692.026090626,6726.402187346001,6829.5244999999995,4,390070272,58.056970716279075,24576,65011712,True
sharing,sharing_002,private,8126464,1,1024,2,16,1,4,30,16720.789909400002,16695.58639522,16976.39141085,16861.3505,4,390070272,23.328459607085453,24576,65011712,True
sharing,sharing_003,shared,8126464,1,1024,2,16,1,4,30,16925.740242,16703.156280540003,17037.268829329998,17045.256,4,390070272,23.045980053035958,24576,65011712,True
sharing,sharing_004,private,8126464,1,4096,2,1,1,4,30,1799.98999834,1719.923996928,1852.202045914,1909.584,4,390070272,216.70691079380077,98304,65011712,True
sharing,sharing_005,shared,8126464,1,4096,2,1,1,4,30,1739.090025425,1706.5539717660001,1851.6220212,1838.489,4,390070272,224.2956179940566,98304,65011712,True
sharing,sharing_006,private,8126464,1,4096,2,16,1,4,30,11384.77993015,11366.3578987,11398.93407821,11500.693500000001,4,390070272,34.26243409123681,98304,65011712,True
sharing,sharing_007,shared,8126464,1,4096,2,16,1,4,30,11385.410308800001,11375.09613035,11402.40573887,11496.408,4,390070272,34.26053707511158,98304,65011712,True
sharing,sharing_008,private,8126464,4,1024,2,1,1,4,30,1727.2199988399998,1714.87400532,1742.9999589899999,1833.799,4,390070272,225.8370515985057,24576,65011712,True
sharing,sharing_009,shared,8126464,4,1024,2,1,1,4,30,1722.7500081100002,1710.965955257,1735.235965248,1834.484,4,390070272,226.42302723187302,24576,40632320,True
sharing,sharing_010,private,8126464,4,1024,2,16,1,4,30,4291.9600009900005,4220.703935627,4347.693920132,4399.493,4,390070272,90.88394857128792,24576,65011712,True
sharing,sharing_011,shared,8126464,4,1024,2,16,1,4,30,4248.649835585,4217.40007401,4304.596138002,4365.942,4,390070272,91.81040732821205,24576,40632320,True
sharing,sharing_012,private,8126464,4,4096,2,1,1,4,30,597.9899764065,543.8340246681,653.7620007994,711.654,4,390070272,652.3023585513064,98304,65011712,True
sharing,sharing_013,shared,8126464,4,4096,2,1,1,4,30,567.6200091840001,545.1200246813,598.0759799482,671.2935,4,390070272,687.2031741107185,98304,40632320,True
sharing,sharing_014,private,8126464,4,4096,2,16,1,4,30,2898.400068285,2873.529934882,2905.008006092,2998.7955,4,390070272,134.58123889391393,98304,65011712,True
sharing,sharing_015,shared,8126464,4,4096,2,16,1,4,30,2896.58999443,2881.0179472,2903.858113292,3001.1255,4,390070272,134.66533846698565,98304,40632320,True
sharing,sharing_016,private,8126464,16,1024,2,1,1,4,30,480.45998811749996,469.6719914675,499.51400756830003,585.498,4,390070272,811.868379567552,24576,65011712,True
sharing,sharing_017,shared,8126464,16,1024,2,1,1,4,30,478.90999913250005,459.1199964284,491.2740081545,585.3679999999999,4,390070272,814.4959861071501,24576,34537472,True
sharing,sharing_018,private,8126464,16,1024,2,16,1,4,30,1124.8199939750002,1099.02796745,1148.914003376,1237.1064999999999,4,390070272,346.78461806278096,24576,65011712,True
sharing,sharing_019,shared,8126464,16,1024,2,16,1,4,30,1110.039949415,1093.163990973,1130.4740190510001,1218.171,4,390070272,351.4020123379976,24576,34537472,True
sharing,sharing_020,private,8126464,16,4096,2,1,1,4,30,220.909997821,181.5399959685,245.553994179,317.196,4,390070272,1765.7429534541393,98304,65011712,True
sharing,sharing_021,shared,8126464,16,4096,2,1,1,4,30,202.30999588999998,190.1699975136,217.3960030081,313.406,4,390070272,1928.0820519223828,98304,34537472,True
sharing,sharing_022,private,8126464,16,4096,2,16,1,4,30,778.860002756,760.3660225868,792.491978407,887.78,4,390070272,500.8220612430147,98304,65011712,True
sharing,sharing_023,shared,8126464,16,4096,2,16,1,4,30,778.4999907015,760.7420027252,790.4479920865999,880.394,4,390070272,501.0536630174021,98304,34537472,True
sharing,sharing_024,private,8126464,32,1024,2,1,1,4,30,283.999994397,270.8099961277,295.8959937095,378.54200000000003,4,390070272,1373.4869003367855,24576,65011712,True
sharing,sharing_025,shared,8126464,32,1024,2,1,1,4,30,283.05999934700003,266.6580110787,295.4339981083,382.122,4,390070272,1378.0480212671,24576,33521664,True
sharing,sharing_026,private,8126464,32,1024,2,16,1,4,30,598.3600020409999,583.5880100725,619.1320061681,701.048,4,390070272,651.8989749807378,24576,65011712,True
sharing,sharing_027,shared,8126464,32,1024,2,16,1,4,30,595.279991627,579.1780114172999,607.1440160275,699.909,4,390070272,655.2719350332482,24576,33521664,True
sharing,sharing_028,private,8126464,32,4096,2,1,1,4,30,153.719998896,117.88199693,202.4859949948,247.9615,4,390070272,2537.537567014321,98304,65011712,True
sharing,sharing_029,shared,8126464,32,4096,2,1,1,4,30,148.30999821400002,130.0219982861,168.65399628859998,255.776,4,390070272,2630.1009823839277,98304,33521664,True
sharing,sharing_030,private,8126464,32,4096,2,16,1,4,30,424.649998546,411.8999928238,440.1019990446,531.7125,4,390070272,918.568876334862,98304,65011712,True
sharing,sharing_031,shared,8126464,32,4096,2,16,1,4,30,421.9399988655,401.044008136,436.37998998119997,533.108,4,390070272,924.4685809565568,98304,33521664,True
sharing,sharing_032,private,32505856,1,1024,2,1,1,4,30,26695.30010225,26673.15483091,26706.56776432,26815.576,4,1560281088,58.44778226967722,24576,260046848,True
sharing,sharing_033,shared,32505856,1,1024,2,1,1,4,30,26691.20025635,26678.15532682,26706.17237094,26815.860999999997,4,1560281088,58.456760018830536,24576,260046848,True
sharing,sharing_034,private,32505856,1,1024,2,16,1,4,30,72077.36206054999,71865.63873291,72322.20764157,72197.7785,4,1560281088,21.647311213876772,24576,260046848,True
sharing,sharing_035,shared,32505856,1,1024,2,16,1,4,30,72004.82940670001,71834.11178586,72297.83782957999,72132.36600000001,4,1560281088,21.669117208613464,24576,260046848,True
sharing,sharing_036,private,32505856,1,4096,2,1,1,4,30,9172.6398468,9070.758152006,9275.781917571001,9288.042,4,1560281088,170.10164075550455,98304,260046848,True
sharing,sharing_037,shared,32505856,1,4096,2,1,1,4,30,9155.089855195001,9082.667636872,9254.805660245,9249.532,4,1560281088,170.42771973610152,98304,260046848,True
sharing,sharing_038,private,32505856,1,4096,2,16,1,4,30,45367.13027955,45353.99589543,45384.19151302,45497.7255,4,1560281088,34.392324980346466,98304,260046848,True
sharing,sharing_039,shared,32505856,1,4096,2,16,1,4,30,45368.391036999994,45355.602645830004,45384.28230284,45488.049,4,1560281088,34.3913692404811,98304,260046848,True
sharing,sharing_040,private,32505856,4,1024,2,1,1,4,30,6726.469993590001,6706.975841523,6735.776090621,6838.4845000000005,4,1560281088,231.96135409611165,24576,260046848,True
sharing,sharing_041,shared,32505856,4,1024,2,1,1,4,30,6722.00989723,6705.870151516,6735.745906833,6829.23,4,1560281088,232.11526193125053,24576,162529280,True
sharing,sharing_042,private,32505856,4,1024,2,16,1,4,30,18205.77049255,18175.48007964,18228.55873112,18320.258,4,1560281088,85.7025572544971,24576,260046848,True
sharing,sharing_043,shared,32505856,4,1024,2,16,1,4,30,17811.550140400002,17757.05528263,17836.04221348,17930.57,4,1560281088,87.59939902484871,24576,162529280,True
sharing,sharing_044,private,32505856,4,4096,2,1,1,4,30,3914.3999814999997,3886.5939617129998,3939.688038821,4017.5605,4,1560281088,398.6003207066488,98304,260046848,True
sharing,sharing_045,shared,32505856,4,4096,2,1,1,4,30,2953.310012815,2863.861942292,3016.186022756,3056.3305,4,1560281088,528.3160525747821,98304,162529280,True
sharing,sharing_046,private,32505856,4,4096,2,16,1,4,30,11390.739917750001,11376.197814910001,11402.87761692,11503.888500000001,4,1560281088,136.97802770201432,98304,260046848,True
sharing,sharing_047,shared,32505856,4,4096,2,16,1,4,30,11395.7300186,11376.91192627,11402.583980540001,11497.7985,4,1560281088,136.91804609738247,98304,162529280,True
sharing,sharing_048,private,32505856,16,1024,2,1,1,4,30,1907.330036165,1891.3340449339998,1927.909982205,2019.885,4,1560281088,818.0446269997411,24576,260046848,True
sharing,sharing_049,shared,32505856,16,1024,2,1,1,4,30,1735.5200052300002,1720.221984383,1751.719999317,1854.039,4,1560281088,899.0280050348504,24576,138149888,True
sharing,sharing_050,private,32505856,16,1024,2,16,1,4,30,4660.02988815,4646.055984499,4672.14221954,4767.779500000001,4,1560281088,334.82212034039566,24576,260046848,True
sharing,sharing_051,shared,32505856,16,1024,2,16,1,4,30,4544.080019,4513.564014438,4576.246023176001,4649.923500000001,4,1560281088,343.36567170385473,24576,138149888,True
sharing,sharing_052,private,32505856,16,4096,2,1,1,4,30,1466.53997898,1423.6259818039998,1504.7579884539998,1575.413,4,1560281088,1063.9199137859157,98304,260046848,True
sharing,sharing_053,shared,32505856,16,4096,2,1,1,4,30,1023.4400033950001,997.9399979118,1040.16997814,1134.941,4,1560281088,1524.5457308920572,98304,138149888,True
sharing,sharing_054,private,32505856,16,4096,2,16,1,4,30,2898.57006073,2885.532093044,2914.725971218,3011.38,4,1560281088,538.2933844307513,98304,260046848,True
sharing,sharing_055,shared,32505856,16,4096,2,16,1,4,30,2897.78006077,2884.667992595,2909.06610489,3002.7455,4,1560281088,538.4401353032297,98304,138149888,True
sharing,sharing_056,private,32505856,32,1024,2,1,1,4,30,1471.78000212,1436.102008819,1532.429957394,1581.533,4,1560281088,1060.1320073329712,24576,260046848,True
sharing,sharing_057,shared,32505856,32,1024,2,1,1,4,30,1083.819985385,1058.739995956,1103.231990336,1192.801,4,1560281088,1439.6127669169607,24576,134086656,True
sharing,sharing_058,private,32505856,32,1024,2,16,1,4,30,2462.190032005,2433.775973319,2470.8959341020004,2563.2129999999997,4,1560281088,633.696452230959,24576,260046848,True
sharing,sharing_059,shared,32505856,32,1024,2,16,1,4,30,2335.2700471850003,2311.1240625339997,2350.583982472,2442.508,4,1560281088,668.137327364262,24576,134086656,True
sharing,sharing_060,private,32505856,32,4096,2,1,1,4,30,1304.939985275,1245.0360298189999,1376.3040065789999,1411.452,4,1560281088,1195.6726789019267,98304,260046848,True
sharing,sharing_061,shared,32505856,32,4096,2,1,1,4,30,824.760019779,774.3519783019,881.3079774384,934.2639999999999,4,1560281088,1891.8001001286261,98304,134086656,True
sharing,sharing_062,private,32505856,32,4096,2,16,1,4,30,1505.9600472450002,1491.262018677,1525.639963149,1615.938,4,1560281088,1036.0707050989663,98304,260046848,True
sharing,sharing_063,shared,32505856,32,4096,2,16,1,4,30,1491.7199611649999,1468.5259699859998,1506.839990616,1602.8980000000001,4,1560281088,1045.9611244871023,98304,134086656,True
