case,cores,ops,components,makespan,fixed_assignment_compute_bound,headroom_pct,hits,concurrent_misses,post_eviction_misses,first_misses,hit_rate,targets,top_target_score,top_target_relative,repeated_tensors
case_001,5,600,200,47502,46560,1.9830743968675013,0,4,0,201,0.0,5,20.36098387448877,0.00042863424433684416,1
case_002,5,1798,1,51207,48000,6.2628156306754885,0,0,0,607,0.0,0,0,0.0,0
case_003,5,13455,10,145413,91620,36.993253698087514,1006,52,0,1936,0.4644525029032213,522,3237.0277510282694,0.02226092406475535,471
case_004,5,777,111,81107,77586,4.341178936466639,12,8,8,307,0.08080808080808081,31,2682.8189862699724,0.03307752704785003,15
case_005,5,4113,1,34188,17052,50.12285012285012,284,22,0,577,0.3940643443973854,210,498.4529874942103,0.014579764463970114,189
case_006,5,678,27,31151,30328,2.6419697602003134,0,0,0,131,0.0,0,0,0.0,0
case_007,5,3885,555,203834,195804,3.9394801652324896,0,12,0,558,0.0,15,732.5268478703437,0.003593742201351804,3
case_008,5,864,108,55855,50952,8.778086115835649,0,0,0,432,0.0,0,0,0.0,0
case_009,5,5671,25,47234,26880,43.09184062327984,612,18,0,997,0.38004325091988894,312,238.69978858350953,0.005053558635379378,318
case_010,5,667,36,18758,12018,35.93133596332232,57,2,0,190,0.36701684339405083,40,1170.3273816955925,0.06239084026525176,39
case_011,5,688,16,46253,45588,1.437744578730027,445,81,0,177,0.6521327014218009,257,213.56199174750114,0.004617257080567772,176
case_012,5,972,50,12452,10480,15.836813363315127,0,0,0,251,0.0,0,0,0.0,0
case_013,5,1968,246,53418,52796,1.164401512598745,15,1,0,991,0.014895729890764648,5,80.66320000654281,0.0015100378150912203,4
case_014,5,35705,1340,3686924,3446880,6.5106847876441165,6334,102,8786,1621,0.3322876543700115,7110,10056.218442375792,0.0027275361364584114,1615
case_015,5,1013,46,43242,29170,32.542435595023356,12,7,0,211,0.07010033176771918,17,2366.5527940413285,0.05472810679527609,10
case_016,5,17995,1,1969193,1610069,18.237115407174407,922,0,0,4283,0.015878725214550537,8,2138.117359729453,0.0010857835467267317,312
case_017,5,1373,60,32681,22196,32.08286160154218,11,17,0,257,0.026298067594251864,25,1721.517715912462,0.052676408797541756,8
case_018,5,2727,126,201238,194408,3.3939911945060075,689,45,171,432,0.5731821627676079,448,118.38384835620495,0.0005882778021854965,232
case_019,5,647,31,15833,10800,31.78803764289775,41,4,0,221,0.18782245328722894,35,284.6047464969878,0.017975415050652928,31
case_020,5,7008,288,107187,106704,0.45061434688907775,0,0,0,288,0.0,0,0,0.0,0
case_021,5,3920,80,1249311,1238400,0.8733613968019194,1547,255,489,450,0.5702614379084967,1117,486.3753883812821,0.00038931490107850015,450
case_022,5,1356,32,11576,10845,6.314789219073946,6,0,0,138,0.060801182245210326,3,23.04190293897975,0.0019904891965255487,3
case_023,5,1011,43,20229,13932,31.12857778436897,5,9,0,134,0.08215206642516532,16,1813.0752826976343,0.08962752892864868,7
case_024,5,5959,1,656657,533153,18.807992604967282,310,0,0,1427,0.044507569594936104,8,2132.3440609225922,0.0032472722607428113,108
case_025,5,18662,2666,974747,941388,3.422323946624095,0,12,1,2670,0.0,17,748.9799702546865,0.0007683839706659128,4
case_026,5,636,31,26735,15218,43.07836169814849,57,2,0,206,0.3433521594242296,40,1054.1502069781195,0.03942959442596295,40
case_027,5,1424,16,448117,445824,0.5116967220614277,517,5,86,882,0.2401134953005852,441,488.8770438472735,0.0010909584859473609,350
case_028,5,19584,153,8300936,7795728,6.0861570309661435,904,33,1052,10264,0.0975853819102065,2912,1597.0215926350425,0.00019239054398624957,1827
case_029,5,861,21,9383,8925,4.881168069913677,0,0,0,168,0.0,0,0,0.0,0
case_030,5,10070,486,560198,556760,0.613711580548304,2083,26,219,692,0.6721311475409836,841,326.34532597798756,0.0005825535363888975,596
case_031,5,6135,107,304955,268048,12.102441343804827,1197,24,474,561,0.553973558891719,875,132.5769667451006,0.0004347427218609323,378
case_032,5,827,25,9917,9510,4.104063728950291,1,0,0,153,0.007178408692604276,1,0.9760477978136508,9.842167972306653e-05,1
case_033,5,3465,95,368435,347196,5.764653195271896,349,35,537,504,0.2336221425397326,919,273.34124130277496,0.0007418981402493655,384
case_034,5,3745,155,163174,150228,7.933862012330395,816,32,16,599,0.5190806059213612,426,243.78287530212157,0.00149400563387624,378
case_035,5,3857,16,51103,35189,31.14102890241277,357,31,0,867,0.33137404580152674,249,212.66660871077116,0.004161528847832244,230
case_036,5,2400,800,187182,186240,0.5032535179664732,0,4,0,801,0.0,5,20.473468519410137,0.0001093773360654878,1
case_037,5,780,20,43013,41920,2.5410922279310855,159,141,0,180,0.3421875,321,212.14816539306975,0.004932187138610879,180
case_038,5,5907,130,275192,266244,3.2515480101165783,1480,35,1267,806,0.40464223898238577,2020,244.8628625276471,0.0008897891745677459,739
case_039,5,5250,70,300221,276094,8.036413175627288,848,235,1012,647,0.2507688006709533,1716,638.102361213379,0.0021254421283433836,607
case_040,5,3083,28,63092,40027,36.55772522665314,243,45,0,777,0.2621865634001627,171,1233.6416027663165,0.019553059068761754,127
case_041,5,16594,494,1191935,1183260,0.7278081439004658,3405,60,5317,1061,0.3202129810608614,4779,319.9651012740253,0.00026844173656619303,1045
case_042,5,4733,104,353812,320664,9.368817338021318,720,1,811,509,0.33366973073383666,1180,248.89138372614656,0.0007034565919927717,453
case_043,5,9309,38,158368,108774,31.315669832289352,759,41,3,1997,0.31206146460963546,442,656.0322263706033,0.004142454450208396,408
case_044,5,1364,11,43843,38032,13.254111260634538,24,26,0,129,0.11790277086444334,76,1888.1634792738569,0.043066475361491156,50
case_045,5,1651,68,25770,25156,2.382615444315095,0,0,0,68,0.0,0,0,0.0,0
case_046,5,992,8,76087,54640,28.18746960716022,11,137,0,66,0.01787157059050831,187,3901.6898493181898,0.05127932300285449,50
case_047,5,13710,1,93047,55443,40.413984330499645,1194,54,0,1803,0.4612574177995921,600,124.11399070615826,0.001333884925963849,546
case_048,5,1728,1,98781,31328,68.28539901398042,191,35,0,624,0.2475166686882109,216,157.32621370567273,0.0015926768680786054,192
case_049,5,4303,11,59456,38830,34.69120021528526,362,12,0,908,0.25091285860978585,173,70.67396020578938,0.001188676671921915,168
case_050,5,4555,23,45172,28935,35.944833082440454,372,12,0,745,0.35280524067068575,183,495.33218052043975,0.010965469328797479,183
case_051,5,1416,1,159635,126670,20.65023334481787,80,0,0,348,0.15494134258491382,8,2107.7332122370935,0.013203452953532079,31
