case,cores,ops,components,makespan,fixed_assignment_compute_bound,headroom_pct,hits,concurrent_misses,post_eviction_misses,first_misses,hit_rate,targets,top_target_score,top_target_relative,repeated_tensors
case_052,5,1008,52,34883,28512,18.263910787489614,16,35,0,259,0.08812485290863299,52,933.357791127898,0.026756809653065906,17
case_053,5,11670,39,380122,247699,34.83697339275286,1567,51,57,5136,0.3939557395005256,1090,1430.2262419087199,0.003762545293113053,989
case_054,5,15751,24,212882,120244,43.51612630471341,1187,36,14,2061,0.25291520578250826,603,363.8129812245755,0.0017089889291935225,553
case_055,5,1236,24,26309,15204,42.209890151659124,10,3,0,173,0.14780373903402327,8,135.17926253441672,0.005138137615812715,5
case_056,5,7678,19,91994,55885,39.2514729221471,636,27,0,1503,0.30738466816898646,319,128.82998901316358,0.0014004172990973714,307
case_057,5,865,21,16003,12949,19.08392176466912,0,0,0,127,0.0,0,0,0.0,0
case_058,5,16575,255,898391,871794,2.9605149650875795,2388,109,5012,1056,0.28342399083882047,3620,645.1021134866804,0.0007180638647166773,1056
case_059,5,2752,64,150736,149864,0.5784948519265476,528,176,0,352,0.4603174603174603,506,213.49170990989677,0.0014163286136682463,330
case_060,5,5281,89,180655,146752,18.76671002740029,1106,1,327,669,0.48388271996984944,851,255.42145125824575,0.0014138631715604093,523
case_061,5,1115,40,21715,19388,10.716094865300485,28,6,0,260,0.11576393286394102,21,428.93502757132586,0.019752937028382492,15
case_062,5,19636,1,690843,524400,24.092738871205178,0,0,0,7531,0.0,0,0,0.0,0
case_063,5,7360,1,206181,196800,4.549885779970031,27,0,9,2610,0.018612132352941176,43,12.332000639692948,5.98115279278544e-05,34
case_064,5,906,1,8516,4108,51.761390324095814,68,37,0,191,0.2116005616005616,91,25.345767914059735,0.0029762526907068736,54
case_065,5,704,42,9869,6152,37.663390414429024,4,9,0,153,0.03932875323797725,13,178.3505698304009,0.018071797530692157,4
case_066,5,5962,28,106776,56218,47.349591668539745,545,40,0,952,0.3389882918195752,321,1569.4775832967237,0.014698786087666926,290
case_067,5,8804,71,12007191,11787600,1.8288290741772961,629,38,300,4667,0.19970315103187392,1155,20231.59776475896,0.0016849567700521263,817
case_068,5,5351,32,123937,51456,58.482132050961376,669,37,0,1281,0.32964663487458823,427,1410.8663439490447,0.011383738060055066,392
case_069,5,1032,1,9390,4740,49.52076677316294,97,10,0,144,0.48022399027515533,73,169.50146914789423,0.0180512746696373,63
case_070,5,1191,38,26656,18444,30.807322929171665,43,15,0,193,0.27029611218231214,31,1482.0056432849858,0.05559745060342834,16
case_071,5,741,1,7502,3468,53.77232737936551,82,18,0,127,0.3055259314214175,74,329.3394777265745,0.043900223637240006,56
case_072,5,29666,476,4795217,4595860,4.157413522683129,1787,1,13836,1237,0.10314793072516094,5579,2093.0283108354615,0.00043648250138324533,1107
case_073,5,4836,39,1751868,1634592,6.694339984519382,448,62,81,2390,0.2660216155938656,584,21336.46530956925,0.012179265395320452,441
case_074,5,3609,73,329495,318800,3.2458762651937034,545,18,445,564,0.29773245661459763,819,318.9218699100361,0.000967911106117046,370
case_075,5,7410,1,379091,228240,39.7928201935683,981,90,3,2944,0.3062351695728727,661,1137.978452987316,0.003001860906714525,570
case_076,5,32528,809,1229998,1212700,1.406343750152439,4936,29,8255,1742,0.32530679029179166,7065,158.97241649061309,0.00012924607722176223,1645
case_077,5,4486,41,114545,86520,24.466366930027505,0,14,7,336,0.0,28,260.0595660022637,0.002270370299901905,7
case_078,5,1024,8,464016,410520,11.528912796110479,267,47,10,532,0.2510318016651884,220,12019.227206474407,0.02590261371692874,163
case_079,5,18720,288,6007100,5925744,1.354330708661422,2117,100,6360,1122,0.21622622298329244,4368,483.4662750739231,8.048247491700207e-05,1122
case_080,5,1098,18,75051,64232,14.415530772408092,271,132,0,304,0.3204188481675393,287,615.5020793772853,0.008201117631707576,155
case_081,5,3485,85,30943,30345,1.9325857221342502,0,0,0,680,0.0,0,0,0.0,0
case_082,5,4113,1,195762,118224,39.608299874337206,637,28,2,2028,0.3137996136944448,331,395.9013307488724,0.002022360472149204,303
case_083,5,3844,31,222425,163720,26.39316623580983,578,20,25,1442,0.42128113336887807,518,2891.60595615592,0.013000363970578487,473
case_084,5,8616,1077,503472,254016,49.54714462770522,0,0,0,4308,0.0,0,0,0.0,0
case_085,5,19737,1,816858,517160,36.68911854936844,2368,55,60,10441,0.2492907701237744,1301,570.0735855309166,0.0006978857837358716,1187
case_086,5,5274,1,42862,18728,56.30628528766739,401,37,0,749,0.41686740027579416,249,236.13208185354304,0.005509124209172298,213
case_087,5,27556,196,865731,722700,16.52141369547816,634,56,901,1030,0.21116182545022028,1247,339.42134775467906,0.0003920632942041801,420
case_088,5,3309,31,82216,44748,45.572637929356816,297,23,0,672,0.3122822767729686,218,1526.9299201161946,0.01857217476058425,196
case_089,5,5120,40,139354,119180,14.476800091852404,248,24,0,764,0.3349296666812284,136,286.9895752719989,0.0020594283283723387,112
case_090,5,1664,13,243470,169512,30.376637778781777,229,23,6,741,0.4989069460485068,126,8548.012958875817,0.03510910156847175,97
case_091,5,31554,513,1863993,1797436,3.570667915598391,2839,212,11338,1432,0.16569820553353404,6619,5744.975949491434,0.0030820802167666047,1417
case_092,5,17608,142,774426,746930,3.5505006288528485,190,7,3,241,0.5717864633183228,60,1725.7667061094849,0.0022284462377418694,50
case_093,5,552,69,15630,15008,3.9795265515035205,0,16,0,280,0.0,20,80.06898404753497,0.005122775690821175,4
case_094,5,647,40,21130,14532,31.225745385707526,29,18,0,107,0.1917890837030974,32,1446.927125259178,0.06847738406337804,14
case_095,5,3696,462,420852,215388,48.820963188959546,0,0,0,1848,0.0,0,0,0.0,0
case_096,5,1198,50,24072,23211,3.5767696909272173,75,2,0,276,0.26298804839157974,61,403.7641651075522,0.016773187317528755,59
case_097,5,6592,64,2101714,2092896,0.4195623191357134,1072,250,3051,832,0.25572457966373097,3301,488.2390494532223,0.00023230518017828416,832
case_098,5,1365,27,45079,35797,20.59051886687815,94,7,0,359,0.32102691944865847,63,1222.0745884409173,0.027109620631356447,64
case_099,5,6296,202,325469,320004,1.6791153688984206,1185,43,809,556,0.4645777487441714,1203,324.8731967072652,0.000998169400794746,444
case_100,5,1394,43,57811,57125,1.186625382712636,0,0,0,171,0.0,0,0,0.0,0
