run,case,problem,cores,method,candidate_index,candidate_name,status,makespan_cycles,parent_makespan_cycles,time_change_percent,added_copy_bytes,parent_added_copy_bytes,added_copy_change_bytes,added_copy_change_percent,full_plan_proxy,evaluation_seconds,candidate_cap,generation_cap_seconds,summary_path,record_path
run_v1,case_075,1,5,cpsat_small,2,cpsat_small_raw,success,426801,422465,1.0263572130235543,10767500,10638860,128640,1.2091521084026002,394479.29999999935,2.38594829197973,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/cpsat_small/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/cpsat_small/evaluations/call_02/attempts/20260926T173219-f257e390843f47a49772b5a90b98f950/record.json
run_v1,case_075,1,5,beam_large,1,beam_large_raw,success,425951,422465,0.8251571136070446,10911244,10638860,272384,2.560274315105193,394353.5999999994,2.298115583951585,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/evaluations/call_01/attempts/20260926T173202-97b57c79ed3c41afb34079266dad05c6/record.json
run_v1,case_075,1,5,beam_large,2,beam_large_merge8_active,success,427886,422465,1.283183222278761,10894860,10638860,256000,2.406272852542468,395517.2666666661,2.340397041058168,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/evaluations/call_02/attempts/20260926T173204-17f947ef2b224fd89551234011b3603e/record.json
run_v1,case_075,1,5,multilevel,1,multilevel_merge8_active,success,426342,422465,0.9177091593386422,10911244,10638860,272384,2.560274315105193,394769.79999999935,2.4361024169484153,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/multilevel/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/multilevel/evaluations/call_01/attempts/20260926T173208-d4a60c834d1648d88b4adf6003cf9b97/record.json
run_v1,case_085,1,5,legacy,1,p1_joint_r0_phase2_eft_raw,success,876263,873645,0.29966405118784234,23422960,23398256,24704,0.10558051847966432,793496.1666666667,6.147442082990892,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/legacy/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/legacy/evaluations/call_01/attempts/20260926T173215-02d396f14cc34b51a062debef067ffd4/record.json
run_v1,case_085,1,5,legacy,2,p1_joint_r0_tensor_cap0.25_eft_raw,success,875987,873645,0.26807227191822935,23398256,23398256,0,0.0,793496.1666666667,5.99277091701515,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/legacy/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/legacy/evaluations/call_02/attempts/20260926T173221-ea418a42a30f416a804cd4d7ba331bd5/record.json
run_v1,case_085,1,5,beam_small,1,beam_small_merge8_active,success,876622,873645,0.34075625683200883,23758708,23398256,360452,1.5405079763209706,800673.3999999999,6.3624604169745,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/beam_small/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/beam_small/evaluations/call_01/attempts/20260926T173222-619f90df8c6e495fa4c5930f661b4699/record.json
run_v1,case_085,1,5,cpsat_small,1,cpsat_small_merge8_active,success,884749,873645,1.270996800760038,23758708,23398256,360452,1.5405079763209706,814094.9000000003,5.739991916925646,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/cpsat_small/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/cpsat_small/evaluations/call_01/attempts/20260926T173245-1dcf2429bd9a4b55866cdfeb46d254f5/record.json
run_v1,case_085,1,5,beam_large,1,beam_large_merge8_active,success,877493,873645,0.4404535022806799,24092792,23398256,694536,2.968323793021166,802871.9333333333,6.61922787502408,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/beam_large/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/beam_large/evaluations/call_01/attempts/20260926T173229-5ae4a4894bee484ca7a3f48e20a5aa6d/record.json
run_v1,case_085,1,5,multilevel,1,multilevel_merge8_active,success,878788,873645,0.5886830463174508,24092792,23398256,694536,2.968323793021166,808823.5000000001,6.821981459041126,2,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/multilevel/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_085/multilevel/evaluations/call_01/attempts/20260926T173237-045d1a7bad0d460b83995f4a8164953e/record.json
run_v2,case_047,1,5,cpsat_warm,1,cpsat_warm_raw,success,158234,159950,-1.0728352610190672,3966906,3887038,79868,2.05472650383145,154315.6000000001,3.5309851249912754,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_047/cpsat_warm/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_047/cpsat_warm/evaluations/call_01/attempts/20260926T174004-35387af972034c308d33efa7310a77d8/record.json
run_v2,case_047,1,5,cpsat_intact,1,cpsat_intact_raw,success,159834,159950,-0.07252266333228619,3887038,3887038,0,0.0,153853.66666666672,3.297859041020274,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_047/cpsat_intact/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_047/cpsat_intact/evaluations/call_01/attempts/20260926T173955-42632eac14284f72aec15b4bd20a78a1/record.json
run_v2,case_075,1,5,cpsat_warm,1,cpsat_warm_raw,success,425665,422465,0.7574591978033673,10767500,10638860,128640,1.2091521084026002,391440.99999999936,2.5269245830131695,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_075/cpsat_warm/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_075/cpsat_warm/evaluations/call_01/attempts/20260926T174016-1af083ffdf364a2fab403cfcaae29e5f/record.json
run_v2,case_075,1,5,cpsat_intact,1,cpsat_intact_raw,success,423477,422465,0.23954647130530748,10638860,10638860,0,0.0,389382.09999999934,2.227505667018704,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_075/cpsat_intact/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_075/cpsat_intact/evaluations/call_01/attempts/20260926T174008-60f13a4dc8954fd58ebede29643e6787/record.json
run_v2,case_085,1,5,cpsat_warm,1,cpsat_warm_raw,success,875536,873645,0.21644947318417707,23758708,23398256,360452,1.5405079763209706,799949.9666666666,5.76065120799467,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_085/cpsat_warm/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_085/cpsat_warm/evaluations/call_01/attempts/20260926T174029-543d21334eed48b4b9f6c572768ab39c/record.json
run_v2,case_085,1,5,cpsat_intact,1,cpsat_intact_raw,success,872469,873645,-0.13460845080095485,23398256,23398256,0,0.0,792877.7,6.1631297919666395,1,20,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_085/cpsat_intact/summary.json,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v2/arms/case_085/cpsat_intact/evaluations/call_01/attempts/20260926T174020-d9b894ad7ed244d1ac4e57db6524e9bf/record.json
