batch,profile,case,problem,num_cores,compute_ops,size_band,logical_calls,uncached_calls,cache_hits,timeout_calls,status_counts,solver_elapsed_seconds,outer_child_elapsed_seconds,post_child_batch_verification_publication_interval_seconds,wrapper_seconds,uncached_wrapper_seconds,cache_lookup_seconds,official_function_seconds_completed_uncached,worker_seconds_completed_uncached,timeout_wrapper_seconds,generation_seconds,solver_residual_seconds,outer_minus_solver_seconds,summary_bytes,final_time,first_final_time_trial,best_stage,duplicates_skipped,generation_failures,summary_path,summary_sha256,launch_sha256,prefix4_time,prefix4_gap_to_final,prefix4_omitted_calls,prefix4_saved_wrapper_seconds_hindsight,prefix8_time,prefix8_gap_to_final,prefix8_omitted_calls,prefix8_saved_wrapper_seconds_hindsight,prefix12_time,prefix12_gap_to_final,prefix12_omitted_calls,prefix12_saved_wrapper_seconds_hindsight,prefix16_time,prefix16_gap_to_final,prefix16_omitted_calls,prefix16_saved_wrapper_seconds_hindsight,prefix24_time,prefix24_gap_to_final,prefix24_omitted_calls,prefix24_saved_wrapper_seconds_hindsight
component_p2_seed17,component,case_002,2,2,1798,02_1001..5000,1,0,1,0,"{""success"": 1}",0.07558312499895692,0.19670125003904104,0.016618111,0.018663999973796308,0,0.018663999973796308,0,0,0,0.004809916019439697,0.05210920900572091,0.12111812504008412,57302,261945,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_002/p2_n2/attempt_0001/summary.json,29a641ae92f4cc7434f3f7188269d76e342596d486a791117e452ff7e136bf31,950f25a9af748745c6351bc2cd93cccba9b69612c6ce93b6f76294cb9fc9912c,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0
component_p2_seed17,component,case_002,2,3,1798,02_1001..5000,1,0,1,0,"{""success"": 1}",0.08843016705941409,0.2189184579765424,0.015226528,0.019654541043564677,0,0.019654541043564677,0,0,0,0.005992291960865259,0.06278333405498415,0.13048829091712832,57936,261945,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_002/p2_n3/attempt_0001/summary.json,e0512c2f68f7038568b76b026d4889835bb924c7c83cd2933f33bb1b1d275ffd,4def32a179d2329d991b9998ba28c10e27d252738b6df4d217d478f7a5af87b2,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0
component_p2_seed17,component,case_002,2,4,1798,02_1001..5000,1,0,1,0,"{""success"": 1}",0.08278366702143103,0.21181362494826317,0.015122612,0.020196457975544035,0,0.020196457975544035,0,0,0,0.00597870908677578,0.056608499959111214,0.12902995792683214,58570,261945,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_002/p2_n4/attempt_0001/summary.json,67fb2dba76b84de158c88aae1a61b8f296c6a582496de11d705311dddf4bcb92,515629cfa0b2a7fafde17fa84242231e0ad7049ae534297c0ab0e9a7a0d57196,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0
component_p2_seed17,component,case_002,2,5,1798,02_1001..5000,1,0,1,0,"{""success"": 1}",0.08987754106055945,0.22897287493105978,0.017713277,0.022630666964687407,0,0.022630666964687407,0,0,0,0.006120209000073373,0.06112666509579867,0.13909533387050033,59197,261945,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_002/p2_n5/attempt_0001/summary.json,04b4e7ee5fb501e2131764ab4743b7fb261c3063e7e592d1233acca2ea5683dd,88efe2804cb02102bae8d2af6b3178de47034473f02a259beee24ed6016449cc,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0,261945,0.0,0,0
component_p2_seed17,component,case_001,2,2,600,01_<=1000,8,3,5,0,"{""success"": 8}",0.9978824589634314,1.1202803339110687,0.028192809,0.8789230833062902,0.8416084580821916,0.03731462522409856,0.3423508331179619,0.5395985839422792,0,0.04067583300638944,0.07828354265075177,0.12239787494763732,115486,116868,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_001/p2_n2/attempt_0001/summary.json,e8800bfec7559aacd7e7e906f3a60950df8ad87ace81f73db196f577f1426c0b,f0bddabe4bdfd3d8c1ed22f3bac5d31a475c7628b2abacbcad4129cd77b4b0e1,116868,0.0,4,0.8467727911192924,116868,0.0,0,0,116868,0.0,0,0,116868,0.0,0,0,116868,0.0,0,0
component_p2_seed17,component,case_004,2,2,777,01_<=1000,8,3,5,0,"{""success"": 8}",1.0612835829379037,1.2000002500135452,0.028217934,0.9230095428647473,0.8838443758431822,0.03916516702156514,0.3955573330167681,0.5853434591554105,0,0.042342041968367994,0.09593199810478836,0.13871666707564145,106895,199074,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_004/p2_n2/attempt_0001/summary.json,3dfbd7c946c4495058a4e63fd5ddbdff708011a84feb4d9701d6a82dbcec7f4d,6b83f5284ed5aa92b09a5ec18f1fdf42e6bd6b449886593f105ea4c94a41b183,199074,0.0,4,0.8882524598157033,199074,0.0,0,0,199074,0.0,0,0,199074,0.0,0,0,199074,0.0,0,0
component_p2_seed17,component,case_001,2,3,600,01_<=1000,12,8,4,0,"{""success"": 12}",2.3554559589829296,2.4914566669613123,0.033710138,2.140096001094207,2.10298062604852,0.03711537504568696,0.8647437090985477,1.3831035847542807,0,0.08443483302835375,0.13092512486036867,0.1360007079783827,163416,78545,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_001/p2_n3/attempt_0001/summary.json,d378405a0eef52eb71b542dde8274ef56030c3ee4e5f0a4bc02dfbd92ae0b2d1,bb5da7d7de873c87ebef38c785b79782d6e0476e53fce06c96c4fce4ef970c4c,78545,0.0,8,2.10298062604852,78545,0.0,4,1.1248698340496048,78545,0.0,0,0,78545,0.0,0,0,78545,0.0,0,0
component_p2_seed17,component,case_004,2,3,777,01_<=1000,12,8,4,0,"{""success"": 12}",2.4702888330211863,2.6117969579063356,0.035300594,2.2717239152407274,2.2353562073549256,0.03636770788580179,0.9796754581620917,1.488034959998913,0,0.07553820800967515,0.12302670977078378,0.1415081248851493,149572,134043,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_004/p2_n3/attempt_0001/summary.json,b8cb9e87a281de35acdbb475b26d88c8890e4d450d266d5a4cd8c082ee3e693f,0bfa567b602b9983762c46c647b48cbee665c50754bf18c9ca0e0722f4ef8366,134043,0.0,8,2.2353562073549256,134043,0.0,4,1.1669904162408784,134043,0.0,0,0,134043,0.0,0,0,134043,0.0,0,0
component_p2_seed17,component,case_001,2,4,600,01_<=1000,16,12,4,0,"{""success"": 16}",3.3633594170678407,3.510531833046116,0.047098084,3.072466207901016,3.038977791904472,0.03348841599654406,1.2411362909479067,1.9984118319116533,0,0.1235253328923136,0.16736787627451122,0.14717241597827524,213971,58984,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_001/p2_n4/attempt_0001/summary.json,e1d0c362b044ae27da5a68e84125860ef2747606ff59e6e99d29cf6168dc778a,c918bb04fe8644d6de952089e0d388e88c214458f6de8c88b21100f1e00e4dfa,58984,0.0,12,3.038977791904472,58984,0.0,8,2.0844299998134375,58984,0.0,4,1.1195900830207393,58984,0.0,0,0,58984,0.0,0,0
component_p2_seed17,component,case_004,2,4,777,01_<=1000,16,12,4,0,"{""success"": 16}",3.6215112500358373,3.7543305829167366,0.048659249,3.338997998042032,3.302491624141112,0.03650637390092015,1.43982274888549,2.2117486679926515,0,0.1131066249217838,0.16940662707202137,0.1328193328808993,194928,104188,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_004/p2_n4/attempt_0001/summary.json,868a9f1bcf2dfeea95ad8769c09c1bf019a77b6c8b32468273602fa0c6430abe,690bf6b1b71b6131be4f668e13bfbe5808dd2f3f1725a059f61f7ab416ff119a,104188,0.0,12,3.302491624141112,104188,0.0,8,2.24884216603823,104188,0.0,4,1.1776729159755632,104188,0.0,0,0,104188,0.0,0,0
component_p2_seed17,component,case_001,2,5,600,01_<=1000,20,9,11,0,"{""success"": 20}",2.698328834027052,2.8387922919355333,0.056799909,2.3085532498080283,2.2416066660080105,0.06694658380001783,0.944754459313117,1.5089584160596132,0,0.1722186249680817,0.21755695925094187,0.14046345790848136,267155,47502,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_001/p2_n5/attempt_0001/summary.json,56a477e8df8f514663693de34f56e497b3184fb7b660138c15b834a7a285e497,b946cc9a65c0f2486be61a2b9a1e546437b73212c4d386ba45ca3424147b0d6c,47502,0.0,16,2.2731076657073572,47502,0.0,12,1.7742626656545326,47502,0.0,8,1.2859962488291785,47502,0.0,4,0.7855304998811334,47502,0.0,0,0
component_p2_seed17,component,case_005,2,2,4113,02_1001..5000,1,0,1,0,"{""success"": 1}",0.13493649999145418,0.27815483300946653,0.023329771,0.02153391600586474,0,0.02153391600586474,0,0,0,0.012652082950808108,0.10075050103478134,0.14321833301801234,101120,95618,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_005/p2_n2/attempt_0001/summary.json,469955ff1bed56d945ece8e2e30487f27cbb3b894165c43c745a09cc60be05d1,31922373e836d65cd4fd821e1179e3ecc4ba597b3767d7200529e1a4b74de59f,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0
component_p2_seed17,component,case_005,2,3,4113,02_1001..5000,1,0,1,0,"{""success"": 1}",0.13402466697152704,0.27279120800085366,0.028522642,0.02225341706071049,0,0.02225341706071049,0,0,0,0.012768790940754116,0.09900245897006243,0.13876654102932662,101756,95618,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_005/p2_n3/attempt_0001/summary.json,3dead55e1140d11abf4c3b8e835c1988e83f2ed07b7e0686fd39855750b2777d,2b79bd173cc6dfc8f136fcd159284dd8b2040b85abed6c7ca56883672a89635a,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0
component_p2_seed17,component,case_005,2,4,4113,02_1001..5000,1,0,1,0,"{""success"": 1}",0.1315727080218494,0.2747087499592453,0.026677144,0.019722667057067156,0,0.019722667057067156,0,0,0,0.012667167000472546,0.09918287396430969,0.14313604193739593,102389,95618,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_005/p2_n4/attempt_0001/summary.json,b33c88f56af33470c530e4b6ef59c0691e1f827108420e178e7458ad070ab565,c488515cf0cb1315fa1282e1114b90acd50356422cc4b42a950e072712f4561e,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0
component_p2_seed17,component,case_005,2,5,4113,02_1001..5000,1,0,1,0,"{""success"": 1}",0.13358954200521111,0.2730644999537617,0.02495102,0.022424416965804994,0,0.022424416965804994,0,0,0,0.012653667014092207,0.09851145802531391,0.13947495794855058,103018,95618,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_005/p2_n5/attempt_0001/summary.json,34d9b8316b9f4e9761eb21889e83bf11f98dd8b6fba01584f70389cadac0270a,3ac66cbfabf3d718e036f58ac9f235d6f38279bec5a795caec8abd7d776f9cfa,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0,95618,0.0,0,0
component_p2_seed17,component,case_004,2,5,777,01_<=1000,20,15,5,0,"{""success"": 20}",4.360202749958262,4.504839166998863,0.058187158,3.9732449168805033,3.9323164579691365,0.04092845891136676,1.7450352917658165,2.7149203328881413,0,0.16165366698987782,0.22530416608788073,0.14463641704060137,242998,88341,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_004/p2_n5/attempt_0001/summary.json,e5ae6a98c1e31950b2fd1c4cf5a2cfa6f7d4b185cc603639611c7975d1572d98,a4bcf7ce3ca65d222b1bb6e7329e3de480b825971c4ff27c2a6e752b0d4a4771,88341,0.0,16,3.93688829196617,88341,0.0,12,2.9123580009909347,88341,0.0,8,1.8950854181312025,88341,0.0,4,1.1739858749788254,88341,0.0,0,0
component_p2_seed17,component,case_006,2,2,678,01_<=1000,24,18,6,0,"{""success"": 24}",4.685792083037086,4.820029207970947,0.058841324,4.384032042347826,4.341730501502752,0.04230154084507376,1.6712597481673583,2.7635597902117297,0,0.06863633403554559,0.23312370665371418,0.1342371249338612,222659,40612,4,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_006/p2_n2/attempt_0001/summary.json,8195217212c41c8427e14cee0d8c7e21edf2278501811dc152d4db807847f90d,9a6c00f9a1d2410af6ce405fa1f3f962f58a1cfaa77b70daaf6f32274ebeb618,40612,0.0,20,4.350777000421658,40612,0.0,16,3.3817662915680557,40612,0.0,12,2.4052476655924693,40612,0.0,8,1.9174838326871395,40612,0.0,0,0
component_p2_seed17,component,case_007,2,2,3885,02_1001..5000,8,3,5,0,"{""success"": 8}",4.304362833034247,4.459394290926866,0.095837668,3.9227116657420993,3.8694914159132168,0.053220249828882515,3.1466997920069844,3.5731928747845814,0,0.16970112500712276,0.21195004228502512,0.15503145789261907,224894,507494,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_007/p2_n2/attempt_0001/summary.json,b7b9a0ef1908984f8cd4abeff1abe50ea484382ebb280c4f35f2fa07ccbd0abd,a4c3d282201974be16361cc27c30b18e5b2fa5bc623de777ae1252170806ca3a,507494,0.0,4,3.876701832865365,507494,0.0,0,0,507494,0.0,0,0,507494,0.0,0,0,507494,0.0,0,0
component_p2_seed17,component,case_006,2,3,678,01_<=1000,24,20,4,0,"{""success"": 24}",5.175572459003888,5.313371540978551,0.059341616,4.834725918830372,4.798746336833574,0.035979581996798515,1.8689760828856379,3.078149163746275,0,0.0978054580045864,0.24304108216892928,0.13779908197466284,230330,31151,3,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_006/p2_n3/attempt_0001/summary.json,2da3dc068445d890ab43f21214d0c1852136894740f413fea4ffc573dc8e5acf,2602b926afa89c0d290d3d9e16931429362cc75b7fd0e804ff7ad6ec7351f78e,31151,0.0,20,4.798746336833574,31151,0.0,16,3.828745001810603,31151,0.0,12,2.8672648769570515,31151,0.0,8,1.9189863339997828,31151,0.0,0,0
component_p2_seed17,component,case_006,2,4,678,01_<=1000,24,20,4,0,"{""success"": 24}",5.261466333991848,5.401679207920097,0.06323307,4.878609502105974,4.846025668201037,0.03258383390493691,1.8939762481022626,3.087301540770568,0,0.13010391709394753,0.25275291479192674,0.14021287392824888,237602,31151,5,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_006/p2_n4/attempt_0001/summary.json,d786ac6c5e2a855cc6fb8c754fddddc3c0e35f98215d00394e147c25aa543d87,d9a8aaccfe96ece880c9b1b53515b2adc1190535e71f594bf0de0da483fcf2cb,31425,0.00879586530127452,20,4.846025668201037,31151,0.0,16,3.873134085093625,31151,0.0,12,2.9127731270855293,31151,0.0,8,1.9488059190334752,31151,0.0,0,0
component_p2_seed17,component,case_007,2,3,3885,02_1001..5000,12,8,4,0,"{""success"": 12}",10.17445220798254,10.332436333061196,0.144858458,9.587259042076766,9.545826293062419,0.04143274901434779,7.698044666904025,8.869969250052236,0,0.2876845420105383,0.29950862389523536,0.15798412507865578,294151,338094,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_007/p2_n3/attempt_0001/summary.json,e815da3c7feb5cc3c0c657ad79675ef8f1206279bc26b0ab94b8c6afb349d7f4,93bf2bfef2e0a009ae9c311d1b02ee6ab35a4601fffa5cf31dc95112bb24262a,338094,0.0,8,9.545826293062419,338094,0.0,4,5.271026710048318,338094,0.0,0,0,338094,0.0,0,0,338094,0.0,0,0
component_p2_seed17,component,case_006,2,5,678,01_<=1000,24,19,5,0,"{""success"": 24}",5.032831374905072,5.179617416928522,0.060600865,4.602129876147956,4.56716566812247,0.03496420802548528,1.8063592050457373,2.973440916277468,0,0.16631925001274794,0.26438224874436855,0.14678604202345014,245581,31151,5,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_006/p2_n5/attempt_0001/summary.json,90a8fb22d4f8396fff84f0d14297eba3fa1978395b7c997e752bdb7519141065,4a63404d7f4ab259b702c09d8b7f690f0f39fa65584a5bc7f90021e926da79dc,31729,0.018554781547943877,20,4.571640168083832,31151,0.0,16,3.620561210089363,31151,0.0,12,2.6618148760171607,31151,0.0,8,1.710000543971546,31151,0.0,0,0
component_p2_seed17,component,case_008,2,2,864,01_<=1000,8,3,5,0,"{""success"": 8}",1.2031061670277268,1.33781504095532,0.039399924,1.0805481659481302,1.0412351669510826,0.039312998997047544,0.5376596249407157,0.7502775840694085,0,0.0301237910753116,0.09243421000428498,0.13470887392759323,107601,244266,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_008/p2_n2/attempt_0001/summary.json,5986d8b8f4db735a8f758e48b537bded04aa7ed8f6b87f62c1f36f43c3e088d3,f27839b6474509cf58bd752dd57bff00966afa7792996c2ded56eb9ba0c5658c,244266,0.0,4,1.0464034168981016,244266,0.0,0,0,244266,0.0,0,0,244266,0.0,0,0,244266,0.0,0,0
component_p2_seed17,component,case_008,2,3,864,01_<=1000,12,8,4,0,"{""success"": 12}",2.9409196249907836,3.0799016669625416,0.04850625,2.7587249177740887,2.723477291758172,0.03524762601591647,1.382894709939137,1.9579463769914582,0,0.04893945890944451,0.13325524830725044,0.138982041971758,149690,163359,1,component,0,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/component_p2_seed17/slots/case_008/p2_n3/attempt_0001/summary.json,9258249fe54889e59da9ed65f0f1e732ec48d4b08c54d93132ba61dd09371ca0,a775edc2812e2db61c73d5c5847345d34475e86bd6d664ed516cda3c6c8bcfa2,163359,0.0,8,2.723477291758172,163359,0.0,4,1.3860231238650158,163359,0.0,0,0,163359,0.0,0,0,163359,0.0,0,0
