batch,profile,case,problem,num_cores,compute_ops,size_band,stage,round,generation_seconds,evaluations,strict_time_improvement,before_time,after_time
component_p2_seed17,component,case_018,2,2,2727,02_1001..5000,component,0,0.21392662497237325,24,True,,502893
component_p2_seed17,component,case_018,2,3,2727,02_1001..5000,component,0,0.4001235000323504,24,True,,339838
component_p2_seed17,component,case_018,2,4,2727,02_1001..5000,component,0,0.6173445830354467,24,True,,254758
component_p2_seed17,component,case_018,2,5,2727,02_1001..5000,component,0,0.8519308749819174,24,True,,205917
component_p2_seed17,component,case_019,2,2,647,01_<=1000,component,0,0.056703124893829226,24,True,,41077
component_p2_seed17,component,case_019,2,3,647,01_<=1000,component,0,0.08348875003866851,24,True,,27808
component_p2_seed17,component,case_019,2,4,647,01_<=1000,component,0,0.11291933304164559,24,True,,24099
component_p2_seed17,component,case_019,2,5,647,01_<=1000,component,0,0.1492401669966057,24,True,,24099
component_p2_seed17,component,case_003,2,4,13455,04_>10000,component,0,1.0389817910036072,24,True,,538381
component_p2_seed17,component,case_020,2,2,7008,03_5001..10000,component,0,0.15494808298535645,9,True,,266580
component_p2_seed17,component,case_020,2,3,7008,03_5001..10000,component,0,0.2370528751052916,13,True,,177950
component_p2_seed17,component,case_020,2,4,7008,03_5001..10000,component,0,0.3219135000836104,17,True,,133704
component_p2_seed17,component,case_020,2,5,7008,03_5001..10000,component,0,0.5031375419348478,24,True,,107187
component_p2_seed17,component,case_021,2,2,3920,02_1001..5000,component,0,0.16697841696441174,8,True,,3194570
component_p2_seed17,component,case_021,2,3,3920,02_1001..5000,component,0,0.4265626249834895,24,True,,2132650
component_p2_seed17,component,case_003,2,5,13455,04_>10000,component,0,1.2683955000247806,24,True,,538381
component_p2_seed17,component,case_022,2,2,1356,02_1001..5000,component,0,0.09873791690915823,24,True,,28088
component_p2_seed17,component,case_022,2,3,1356,02_1001..5000,component,0,0.16793991706799716,24,True,,18998
component_p2_seed17,component,case_021,2,4,3920,02_1001..5000,component,0,0.6479715000605211,24,True,,1550324
component_p2_seed17,component,case_022,2,4,1356,02_1001..5000,component,0,0.27224045898765326,24,True,,14550
component_p2_seed17,component,case_022,2,5,1356,02_1001..5000,component,0,0.3363583750324324,24,True,,11713
component_p2_seed17,component,case_023,2,2,1011,02_1001..5000,component,0,0.07833691698033363,23,True,,55794
component_p2_seed17,component,case_021,2,5,3920,02_1001..5000,component,0,1.3184876659652218,24,True,,1250168
component_p2_seed17,component,case_024,2,2,5959,03_5001..10000,component,0,0.016960624954663217,1,True,,2555343
component_p2_seed17,component,case_024,2,3,5959,03_5001..10000,component,0,0.017271250020712614,1,True,,2555343
component_p2_seed17,component,case_024,2,4,5959,03_5001..10000,component,0,0.016047375043854117,1,True,,2555343
component_p2_seed17,component,case_024,2,5,5959,03_5001..10000,component,0,0.01653666701167822,1,True,,2555343
component_p2_seed17,component,case_023,2,3,1011,02_1001..5000,component,0,0.13746341597288847,24,True,,38975
component_p2_seed17,component,case_023,2,4,1011,02_1001..5000,component,0,0.2042327499948442,24,True,,29111
component_p2_seed17,component,case_023,2,5,1011,02_1001..5000,component,0,0.2944042079616338,24,True,,24058
component_p2_seed17,component,case_026,2,2,636,01_<=1000,component,0,0.057756499969400465,24,True,,49745
component_p2_seed17,component,case_026,2,3,636,01_<=1000,component,0,0.09325687494128942,24,True,,41655
component_p2_seed17,component,case_026,2,4,636,01_<=1000,component,0,0.1530690420186147,24,True,,41655
component_p2_seed17,component,case_026,2,5,636,01_<=1000,component,0,0.3609867080813274,24,True,,41655
component_p2_seed17,component,case_027,2,2,1424,02_1001..5000,component,0,0.10494025005027652,8,True,,1120962
component_p2_seed17,component,case_025,2,2,18662,04_>10000,component,0,0.7553521250374615,8,True,,2431840
component_p2_seed17,component,case_027,2,3,1424,02_1001..5000,component,0,0.31110895797610283,24,True,,837049
component_p2_seed17,component,case_027,2,4,1424,02_1001..5000,component,0,0.4907869159942493,24,True,,559196
component_p2_seed17,component,case_027,2,5,1424,02_1001..5000,component,0,0.7555111659457907,24,True,,558753
component_p2_seed17,component,case_028,2,2,19584,04_>10000,component,0,0.5220347089925781,8,True,,23638628
component_p2_seed17,component,case_025,2,3,18662,04_>10000,component,0,1.2969229159643874,12,True,,1622164
component_p2_seed17,component,case_028,2,3,19584,04_>10000,component,0,0.865371958934702,12,True,,16770711
component_p2_seed17,component,case_014,2,2,35705,04_>10000,component,0,2.6403043750906363,24,True,,8816332
component_p2_seed17,component,case_025,2,4,18662,04_>10000,component,0,1.988740082946606,16,True,,1217444
component_p2_seed17,component,case_028,2,4,19584,04_>10000,component,0,1.0907515420112759,16,True,,13608312
component_p2_seed17,component,case_025,2,5,18662,04_>10000,component,0,2.4481475830543786,20,True,,975282
component_p2_seed17,component,case_029,2,2,861,01_<=1000,component,0,0.02151620900258422,8,True,,19740
component_p2_seed17,component,case_029,2,3,861,01_<=1000,component,0,0.03769029094837606,12,True,,12743
component_p2_seed17,component,case_029,2,4,861,01_<=1000,component,0,0.05230008403304964,16,True,,11028
component_p2_seed17,component,case_029,2,5,861,01_<=1000,component,0,0.06575645902194083,20,True,,9383
component_p2_seed17,component,case_030,2,2,10070,04_>10000,component,0,0.6658397089922801,24,True,,1388868
component_p2_seed17,component,case_028,2,5,19584,04_>10000,component,0,1.5993875419953838,20,True,,11491035
component_p2_seed17,component,case_030,2,3,10070,04_>10000,component,0,1.3922287919558585,24,True,,932203
component_p2_seed17,component,case_031,2,2,6135,03_5001..10000,component,0,0.255562083912082,19,True,,717771
component_p2_seed17,component,case_031,2,3,6135,03_5001..10000,component,0,0.6210302079562098,24,True,,485202
component_p2_seed17,component,case_030,2,4,10070,04_>10000,component,0,1.6821747079957277,24,True,,696595
component_p2_seed17,component,case_031,2,4,6135,03_5001..10000,component,0,0.953495291993022,24,True,,378248
component_p2_seed17,component,case_031,2,5,6135,03_5001..10000,component,0,1.4422884170198813,24,True,,306213
component_p2_seed17,component,case_032,2,2,827,01_<=1000,component,0,0.0853620000416413,24,True,,17325
component_p2_seed17,component,case_032,2,3,827,01_<=1000,component,0,0.13994962500873953,24,True,,11865
component_p2_seed17,component,case_030,2,5,10070,04_>10000,component,0,2.7561259999638423,24,True,,560451
component_p2_seed17,component,case_032,2,4,827,01_<=1000,component,0,0.16295745898969471,24,True,,10285
component_p2_seed17,component,case_032,2,5,827,01_<=1000,component,0,0.23998937499709427,24,True,,10285
component_p2_seed17,component,case_033,2,2,3465,02_1001..5000,component,0,0.2613974579144269,24,True,,883929
component_p2_seed17,component,case_034,2,2,3745,02_1001..5000,component,0,0.3069043749710545,24,True,,384440
full_p1_seed17,full,case_001,1,2,600,01_<=1000,component,0,0.01491320796776563,4,True,,116868
full_p1_seed17,full,case_001,1,2,600,01_<=1000,operation,0,0.009699041955173016,8,False,116868,116868
full_p1_seed17,full,case_002,1,2,1798,02_1001..5000,component,0,0.0021979999728500843,1,True,,261945
full_p1_seed17,full,case_002,1,2,1798,02_1001..5000,operation,0,0.038727124920114875,8,True,261945,252542
full_p1_seed17,full,case_001,1,3,600,01_<=1000,component,0,0.03540549997705966,4,True,,78545
full_p1_seed17,full,case_001,1,3,600,01_<=1000,operation,0,0.010397667065262794,8,False,78545,78545
full_p1_seed17,full,case_001,1,4,600,01_<=1000,component,0,0.04956166702322662,4,True,,58984
full_p1_seed17,full,case_001,1,4,600,01_<=1000,operation,0,0.01066083402838558,8,False,58984,58984
full_p1_seed17,full,case_001,1,5,600,01_<=1000,component,0,0.07931420800741762,4,True,,47502
full_p1_seed17,full,case_001,1,5,600,01_<=1000,operation,0,0.011263291002251208,8,False,47502,47502
full_p1_seed17,full,case_002,1,3,1798,02_1001..5000,component,0,0.0022370419465005398,1,True,,261945
full_p1_seed17,full,case_002,1,3,1798,02_1001..5000,operation,0,0.03595916600897908,8,True,261945,171449
full_p1_seed17,full,case_004,1,2,777,01_<=1000,component,0,0.017056083073839545,4,True,,199074
full_p1_seed17,full,case_004,1,2,777,01_<=1000,operation,0,0.017941458034329116,8,False,199074,199074
full_p1_seed17,full,case_004,1,3,777,01_<=1000,component,0,0.03326629102230072,4,True,,134043
full_p1_seed17,full,case_004,1,3,777,01_<=1000,operation,0,0.013436499983072281,8,False,134043,134043
full_p1_seed17,full,case_002,1,4,1798,02_1001..5000,component,0,0.002157999901100993,1,True,,261945
full_p1_seed17,full,case_002,1,4,1798,02_1001..5000,operation,0,0.04004745802376419,8,True,261945,195596
full_p1_seed17,full,case_004,1,4,777,01_<=1000,component,0,0.048208207939751446,4,True,,104188
full_p1_seed17,full,case_004,1,4,777,01_<=1000,operation,0,0.014737583929672837,8,False,104188,104188
full_p1_seed17,full,case_002,1,5,1798,02_1001..5000,component,0,0.0024448339827358723,1,True,,261945
full_p1_seed17,full,case_002,1,5,1798,02_1001..5000,operation,0,0.03996762493625283,8,True,261945,179186
full_p1_seed17,full,case_004,1,5,777,01_<=1000,component,0,0.07031091605313122,4,True,,88341
full_p1_seed17,full,case_004,1,5,777,01_<=1000,operation,0,0.02380970900412649,8,False,88341,88341
full_p1_seed17,full,case_006,1,2,678,01_<=1000,component,0,0.027335416991263628,4,True,,45998
full_p1_seed17,full,case_006,1,2,678,01_<=1000,operation,0,0.016199124976992607,8,False,45998,45998
full_p1_seed17,full,case_006,1,3,678,01_<=1000,component,0,0.04265879199374467,4,True,,31151
full_p1_seed17,full,case_006,1,3,678,01_<=1000,operation,0,0.012478583957999945,8,False,31151,31151
full_p1_seed17,full,case_006,1,4,678,01_<=1000,component,0,0.05944845802150667,4,True,,31425
full_p1_seed17,full,case_006,1,4,678,01_<=1000,operation,0,0.013314999989233911,8,False,31425,31425
full_p1_seed17,full,case_005,1,2,4113,02_1001..5000,component,0,0.006292707985267043,1,True,,95618
full_p1_seed17,full,case_005,1,2,4113,02_1001..5000,operation,0,0.08427112502977252,8,True,95618,95439
full_p1_seed17,full,case_006,1,5,678,01_<=1000,component,0,0.07935312506742775,4,True,,31729
full_p1_seed17,full,case_006,1,5,678,01_<=1000,operation,0,0.013553207973018289,8,False,31729,31729
full_p1_seed17,full,case_005,1,3,4113,02_1001..5000,component,0,0.00812937505543232,1,True,,95618
full_p1_seed17,full,case_005,1,3,4113,02_1001..5000,operation,0,0.08338295808061957,8,False,95618,95618
full_p1_seed17,full,case_005,1,4,4113,02_1001..5000,component,0,0.005430374993011355,1,True,,95618
full_p1_seed17,full,case_005,1,4,4113,02_1001..5000,operation,0,0.08271258301101625,8,True,95618,94672
full_p1_seed17,full,case_005,1,5,4113,02_1001..5000,component,0,0.007716167019680142,1,True,,95618
full_p1_seed17,full,case_005,1,5,4113,02_1001..5000,operation,0,0.07920270797330886,8,True,95618,94524
