case,method,candidate_best_name,candidate_best_time,parent_time,time_delta,candidate_best_proxy,parent_proxy,proxy_delta,copy_delta,task_delta,l1_delta,ub_delta
case_047,cpsat_intact,cpsat_intact_raw,159834,159950,-116,153853.66666666672,153910.0666666667,-56.39999999999418,0,0,0,0
case_047,cpsat_warm,cpsat_warm_raw,158234,159950,-1716,154315.6000000001,153910.0666666667,405.5333333333838,79868,16,0,0
case_075,cpsat_intact,cpsat_intact_raw,423477,422465,1012,389382.09999999934,389382.09999999934,0.0,0,0,0,0
case_075,cpsat_warm,cpsat_warm_raw,425665,422465,3200,391440.99999999936,389382.09999999934,2058.9000000000233,128640,16,0,0
case_085,cpsat_intact,cpsat_intact_raw,872469,873645,-1176,792877.7,793878.3666666667,-1000.6666666667443,0,0,0,0
case_085,cpsat_warm,cpsat_warm_raw,875536,873645,1891,799949.9666666666,793878.3666666667,6071.59999999986,360452,16,0,0
