problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
1,baseline,4,4,48,48,0,0,105.52728558308445,25.79897752107354
1,integrated,4,4,48,48,0,0,159.4588603739394,38.74258729151916
1,local_legacy,4,4,48,48,0,0,159.5085364159895,40.390787416487
2,baseline,4,4,48,48,0,0,13.419279208872467,3.247550437459722
2,integrated,4,4,48,48,0,0,23.604571083909832,5.937736874970142
2,local_legacy,4,4,48,48,0,0,17.129118249868043,4.0732322499970905
3,baseline,4,4,48,48,0,0,14.530907082138583,3.624035499524325
3,integrated,4,4,48,48,0,0,24.11100437399,5.987334645527881
3,local_legacy,4,4,48,48,0,0,18.63855608389713,4.535403833491728
