problem,cores,graphs,mean_speedup,optimized_singlecore_normalized_speedup
1,1,100,1.0021867095309935,1.0
1,2,100,1.806035547067042,1.8013574832816734
1,3,100,2.4805474394493383,2.472768753549778
1,4,100,3.104131476067908,3.0932659111658865
1,5,100,3.8184831385991824,3.8053403055577717
2,1,100,1.0024460533585284,1.0
2,2,100,2.0644875840586234,2.059783922591203
2,3,100,2.9547246681800017,2.9487411552017253
2,4,100,3.6494460099026917,3.642830247597623
2,5,100,4.561517169426836,4.553297784594163
3,1,100,1.0111209089977997,1.0
3,2,100,2.0705721413756235,2.0456932878165484
3,3,100,2.968846056156794,2.93846762229083
3,4,100,3.6933264954016,3.658847128510106
3,5,100,4.679333604516417,4.638061823106182
