case,cores,makespan,added_copy_bytes,spill_bytes,hit_bytes,miss_bytes,hit_rate,source,plan_sha256
case_001,5,47502,4608,0,0,824960,0.0,fixed_plan_replay,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_002,5,51207,642048,0,0,1543680,0.0,fixed_plan_replay,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77
case_003,5,145137,5783280,0,2385568,2669162,0.47194766090374757,fixed_plan_replay,dee7955c586e823f32b38ed0ff586b1391c6f9d1d8e7c644c87c27b3a0243472
case_004,5,81107,2863104,61440,172032,1956864,0.08080808080808081,fixed_plan_replay,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811
case_005,5,33821,1546098,0,537904,743816,0.41967356364884684,fixed_plan_replay,1579c22a6411b45191ca743b78cbdb798070b6b6f57029e3825e9d99f2157cdf
case_006,5,20505,355106,0,303496,571370,0.3469056975582546,exact_historical_hash,31fc073601d497dca1cf3a6f8dbc2a1d488bfc64d24587b0d3e9b50cf4850920
case_007,5,196870,110592,0,0,990720,0.0,fixed_plan_replay,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_008,5,55855,0,0,0,1990872,0.0,fixed_plan_replay,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_009,5,46646,1290894,0,496726,837274,0.3723583208395802,fixed_plan_replay,9425149a0a1417dc66d7981f5ef048d6e9dae26a9474efe09dc4705f1ef64f77
case_010,5,18544,554512,0,295110,518384,0.36276850228766283,fixed_plan_replay,997e3e564628228bcf44e0b4ef0940f1af1d538640f5ff275638bab985a240bd
case_011,5,38462,1558528,0,1411072,675840,0.676153091265947,exact_historical_hash,11ff602ef01cb127aa42650c3637dd27601f51ee659f0f4605decf6ce1eebeec
case_012,5,12045,61824,0,46976,496896,0.08637326429748177,exact_historical_hash,fb9330b8375d3a2a9f72e42886e4b730652a33e8a4612af874133bf93f1189c9
case_013,5,53418,45056,0,30720,2031616,0.014895729890764648,fixed_plan_replay,1f25b06de5e233f585596aba8d488568923ec41de5cf97c3f8d74f98705281be
case_014,5,3646327,57797928,19923912,21283296,46413984,0.31438923395445134,exact_historical_hash,84f0d90940f9b13a0f9f9aeea21292f07a7ba73fb8a8cffe87798eb1af4f8416
case_015,5,33340,313344,0,144896,1052930,0.120965816404052,fixed_plan_replay,f618f38fd78956b682f0192b756de375a8c0850368dd9af55788b1804a13b913
case_016,5,1969193,40388464,0,329504,20421784,0.015878725214550537,fixed_plan_replay,a3e9becc7eedda6cd8e170f3109414c0c3182f03c6a433e025829be90d4dd0ff
case_017,5,28045,340992,0,192384,683726,0.21958886441200307,exact_historical_hash,ee6eaf016b38e8cc9f322a374a5ae2ae6f04c353de6ee3d063b7ad969b9413a0
case_018,5,196701,4825088,143360,4344704,2068884,0.6774217489492621,fixed_plan_replay,b3edf39f764db5aa9035257284d7460ec9d26fb69265c33b54dd83584dc6d3fe
case_019,5,15396,272468,0,57408,299070,0.16104219615235724,exact_historical_hash,d07ae9ae54b934692207eadd7e4357fef7a581a92fa71886bc08dcfbbfd86d43
case_020,5,107187,0,0,0,1179648,0.0,fixed_plan_replay,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_021,5,1244853,7360512,90112,5826560,3889152,0.5997048903878583,exact_historical_hash,e0bebd4d5a5827b652b570df3f48856c73fb743bacb4cb0e660b4114db65c6d7
case_022,5,11576,13824,0,13824,213540,0.060801182245210326,fixed_plan_replay,e5709cbe6b4d09384eafb50bc4ce446bad7ae0dfc0250588813b9048e8d27e41
case_023,5,19711,280992,0,141728,573386,0.19818937959542116,fixed_plan_replay,88a088c09b0a90e8df126f716b6c21b66418e92d2ed1bba374ca4ea8a2ddbe3c
case_024,5,656657,13637536,0,328280,7047544,0.044507569594936104,fixed_plan_replay,74b04abca9799ae87e4ccc3558f66652149add5c1a6567a901deafbea436d096
case_025,5,942350,118272,0,46080,4191744,0.010873504893077202,fixed_plan_replay,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4
case_026,5,26036,765184,0,361236,690850,0.3433521594242296,fixed_plan_replay,425414a5a2c3833a85d388145c07470fdfc9cdc29830b4a0a39b385fdee5d23a
case_027,5,448117,16119808,0,2772992,8775680,0.2401134953005852,fixed_plan_replay,b0fa9da47632fb703a9ce2cb951749603d2d7c5e076b971a6d84c7f158f716bc
case_028,5,8129461,81607680,528384,8656200,40473144,0.17619205336834948,exact_historical_hash,fea704144d7c2802d0322117495004b179331570bb215e2830fb56661707e93c
case_029,5,9238,0,0,0,258132,0.0,exact_historical_hash,8764f19bc2c3e00a850ebb1085cffaa3a7672beadb43cb1b780d42d271c465e5
case_030,5,557851,6481920,0,5900288,2974720,0.6648205838236991,exact_historical_hash,e9d94dfe5fce4b48e3f6c83be41487a1cf6d0eb39c5bd4bfe20644b20d57c9db
case_031,5,273059,7215360,950784,4122624,5270644,0.43889134218250775,fixed_plan_replay,8a654a58ce5321ab7e0e6b6d7a1a532011f773f5f5ff710076a82dd59ca152d0
case_032,5,9829,92342,0,88146,281254,0.2386193827828912,exact_historical_hash,9c74831b83ff8ac8615f79b66b8f144372f7b5f0274cf8a82c6c357c0985b671
case_033,5,356432,16531092,0,6131716,8453816,0.4203971442385509,exact_historical_hash,84dd04564208035556dd346c978626b9f396e465773ada18f37104d60cdcaae8
case_034,5,158621,2807808,0,2600960,2486832,0.5112158673153305,exact_historical_hash,45949321f64018065e17af17a2f0b8521057419ddcaa6e4a84122c7c366dc74b
case_035,5,51103,1130532,0,364644,735756,0.33137404580152674,fixed_plan_replay,bf4b5621ddbb4b9576345e6785c43b9944f529ae60de1aea0e9a2151a3f304ff
case_036,5,187182,4608,0,0,3282560,0.0,fixed_plan_replay,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a
case_037,5,43013,778240,0,448512,862208,0.3421875,fixed_plan_replay,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629
case_038,5,274634,7870464,250368,6689280,3975690,0.6272197671442113,exact_historical_hash,303893a128886491d391457de1d400f1f2c2618be9e6bd617b3db83fd4ccd8a4
case_039,5,298213,16588800,1654784,12066816,8617984,0.5833663366336633,exact_historical_hash,14b988fd97ee5b05ac535becbfb025315932e83b9b8d08b6c005c0e11eb980f0
case_040,5,63092,2162492,0,593636,1670538,0.2621865634001627,fixed_plan_replay,4bedb25d822d9369f7ebbe4a7021c32cd87b8f59ab5ca779a5a0b1c7b062453b
case_041,5,1191935,40630272,22609920,14595072,30984192,0.3202129810608614,fixed_plan_replay,f4279e3316d6c7fdbcae9d0738c9176f4276c3d379c3cf2e4ec8e4ee9ea17926
case_042,5,348844,10597376,3310592,3753984,8404768,0.3087474767147155,exact_historical_hash,3de989e7ff0840be58c03c4d639fc8046be58219987e41135186de126c931ba9
case_043,5,158316,6691004,0,1662118,3664134,0.31206146460963546,exact_historical_hash,c963ffc19db25a25796fdfca0170b5acc6de2598fbecf049df266d836ecca621
case_044,5,43210,1021280,0,301120,1627648,0.15612038358164382,fixed_plan_replay,e997b80bc15e95db58b1d933663ff3f529b56f8e6e152d7c25243a63b84d8254
case_045,5,25770,0,0,0,278528,0.0,fixed_plan_replay,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_046,5,58678,2582304,0,2054784,1517312,0.5752320206399828,fixed_plan_replay,6f851b43e331babdbafcb6a1e7e817e1e7f457b3252b9bd8779266b2eaf4f7ca
case_047,5,92870,2658872,0,953302,1101592,0.46391784685730747,exact_historical_hash,cc7d559c37ede0b5b6f6af3a5c1d19a9f6fc0cee6984b765e17e1b23a93027b0
case_048,5,98366,1236440,0,269288,835286,0.2437935348831314,fixed_plan_replay,d525dc2b8013bff3b5a9a0382714b22e81f9154d5d6b9fc655c2fc96bcb6bfc4
case_049,5,59456,1786208,0,270742,808286,0.25091285860978585,fixed_plan_replay,dd826fe6e507ec1754234f9b5891b5249bdbf35a77b9a8ee484a761d9c4d2d3d
case_050,5,45172,1481220,0,432360,793132,0.35280524067068575,fixed_plan_replay,092bb3ad07cb6c11787b90bfe9d1df4ad3d60b053544255bd61cf42b3fc71080
case_051,5,159635,3507604,0,360586,1966656,0.15494134258491382,fixed_plan_replay,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3
case_052,5,32186,328704,0,231936,906812,0.20367631820209564,fixed_plan_replay,39db1943f515170d19d7c20608cf3e7d9d37a05279dc4573c17413ce1eed33bf
case_053,5,380122,21711392,0,6536672,10055730,0.3939557395005256,fixed_plan_replay,ac7401875e6693bf8d4a47ec0f8c76ed3cf81cc9743eb95e1eb5017d1491bbf3
case_054,5,212882,6504128,0,1316758,3889564,0.25291520578250826,fixed_plan_replay,9cf151ba81591e3d62ab724b7c3ecf3e0ec381890aa930ff688940469f06c041
case_055,5,20015,198656,0,171008,653340,0.2074463697370528,fixed_plan_replay,b8f5ce7706007d861975e3575ccde8deef5ccf606fc26671622e3adc5aebadfa
case_056,5,91897,2734524,0,527306,1186488,0.3076834205277881,fixed_plan_replay,113b80ab57b1b16262fa0a4bc473eca5c267aea7d8e6d1ffbbcf137f0e68601c
case_057,5,14028,14112,0,288,350412,0.0008212147134302823,exact_historical_hash,7609a693c051df78a2606146066ef251e8021ebc6af5daec6597e6e76bc10fa5
