case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_039,298213,16588800,1654784,12066816,8617984,0.5833663366336633,14b988fd97ee5b05ac535becbfb025315932e83b9b8d08b6c005c0e11eb980f0
case_040,63092,2162492,0,593636,1670538,0.2621865634001627,4bedb25d822d9369f7ebbe4a7021c32cd87b8f59ab5ca779a5a0b1c7b062453b
case_041,1191935,40630272,22609920,14595072,30984192,0.3202129810608614,f4279e3316d6c7fdbcae9d0738c9176f4276c3d379c3cf2e4ec8e4ee9ea17926
case_042,348844,10597376,3310592,3753984,8404768,0.3087474767147155,3de989e7ff0840be58c03c4d639fc8046be58219987e41135186de126c931ba9
case_043,158316,6691004,0,1662118,3664134,0.31206146460963546,c963ffc19db25a25796fdfca0170b5acc6de2598fbecf049df266d836ecca621
case_044,43210,1021280,0,301120,1627648,0.15612038358164382,e997b80bc15e95db58b1d933663ff3f529b56f8e6e152d7c25243a63b84d8254
case_045,25770,0,0,0,278528,0.0,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_046,56568,2582304,0,2054784,1517312,0.5752320206399828,756fb2bf6276cc5d6a9c7e7281552ca4bc24e7c9ab7485d2ceeb9ad72851b283
case_047,92870,2658872,0,953302,1101592,0.46391784685730747,cc7d559c37ede0b5b6f6af3a5c1d19a9f6fc0cee6984b765e17e1b23a93027b0
case_048,98366,1236440,0,269288,835286,0.2437935348831314,d525dc2b8013bff3b5a9a0382714b22e81f9154d5d6b9fc655c2fc96bcb6bfc4
case_049,59456,1786208,0,270742,808286,0.25091285860978585,dd826fe6e507ec1754234f9b5891b5249bdbf35a77b9a8ee484a761d9c4d2d3d
case_050,45172,1481220,0,432360,793132,0.35280524067068575,092bb3ad07cb6c11787b90bfe9d1df4ad3d60b053544255bd61cf42b3fc71080
case_051,159635,3507604,0,360586,1966656,0.15494134258491382,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3
case_052,32186,328704,0,231936,906812,0.20367631820209564,39db1943f515170d19d7c20608cf3e7d9d37a05279dc4573c17413ce1eed33bf
case_053,380122,21711392,0,6536672,10055730,0.3939557395005256,ac7401875e6693bf8d4a47ec0f8c76ed3cf81cc9743eb95e1eb5017d1491bbf3
case_054,212882,6504128,0,1316758,3889564,0.25291520578250826,9cf151ba81591e3d62ab724b7c3ecf3e0ec381890aa930ff688940469f06c041
case_055,19462,198656,0,162816,661532,0.19750881909096643,146fe28744743e5c37f2d14408a34e3c1f1b61993ab9408762c7e50370759d74
case_056,91897,2734524,0,527306,1186488,0.3076834205277881,113b80ab57b1b16262fa0a4bc473eca5c267aea7d8e6d1ffbbcf137f0e68601c
