problem,method,control,pairs,successful_pairs,method_failures,control_failures,wins,ties,losses,mean_paired_reduction_pct,median_paired_reduction_pct
2,integrated,baseline,4,4,0,0,3,1,0,2.7660287480785724,0.20798840157156273
2,integrated,local_legacy,4,4,0,0,3,1,0,2.2422752099883705,0.20798840157156273
2,local_legacy,baseline,4,4,0,0,1,3,0,0.5727407662357215,0.0
3,integrated,baseline,4,4,0,0,2,2,0,2.6951472630692,0.2185878197557889
3,integrated,local_legacy,4,4,0,0,2,2,0,2.5314016219210314,0.2185878197557889
3,local_legacy,baseline,4,4,0,0,1,3,0,0.18131192125882267,0.0
