id,sample,device_envelope_us,host_us,max_abs_error
barrier_worst_scale2_barrier_067,11,698.180019855,807.044,0
barrier_worst_scale1_barrier_067,11,457.280009985,566.953,0
barrier_best_scale2_barrier_039,11,3717.6399231,3797.729,0
barrier_worst_scale2_barrier_066,11,764.999985695,854.025,0
barrier_best_scale2_barrier_038,11,6815.87982178,6974.465,0
barrier_best_scale1_barrier_039,11,1918.12002659,2023.43,0
barrier_worst_scale1_barrier_066,11,376.599997282,465.672,0
barrier_best_scale1_barrier_038,11,3419.87991333,3513.587,0
barrier_worst_scale2_barrier_066,12,767.019987106,844.784,0
barrier_best_scale1_barrier_038,12,3448.42004776,3541.367,0
barrier_worst_scale1_barrier_066,12,384.719997644,478.883,0
barrier_worst_scale1_barrier_067,12,361.519992352,457.042,0
barrier_best_scale1_barrier_039,12,1905.30002117,1989.09,0
barrier_best_scale2_barrier_038,12,6805.94015121,6908.855,0
barrier_best_scale2_barrier_039,12,3706.97999001,3801.16,0
barrier_worst_scale2_barrier_067,12,688.019990921,796.174,0
barrier_worst_scale2_barrier_067,13,687.399983406,775.784,0
barrier_worst_scale1_barrier_066,13,391.539990902,488.783,0
barrier_worst_scale2_barrier_066,13,748.820006847,836.564,0
barrier_best_scale2_barrier_039,13,3707.58008957,3804.759,0
barrier_worst_scale1_barrier_067,13,349.040001631,432.703,0
barrier_best_scale2_barrier_038,13,6807.96003342,6882.534,0
barrier_best_scale1_barrier_039,13,1887.27998734,1986.69,0
barrier_best_scale1_barrier_038,13,3418.85995865,3509.757,0
barrier_best_scale2_barrier_038,14,6799.26013947,6897.814,0
barrier_worst_scale1_barrier_066,14,394.199997187,504.053,0
barrier_worst_scale1_barrier_067,14,444.200009108,577.023,0
barrier_worst_scale2_barrier_066,14,771.740019321,860.974,0
barrier_worst_scale2_barrier_067,14,695.640027523,828.934,0
barrier_best_scale1_barrier_038,14,3440.04011154,3538.288,0
barrier_best_scale1_barrier_039,14,1891.0599947,1961.07,0
barrier_best_scale2_barrier_039,14,3708.92000198,3813.319,0
barrier_best_scale1_barrier_039,15,1903.22005749,2013.67,0
barrier_best_scale2_barrier_039,15,3700.97994804,3768.648,0
barrier_best_scale2_barrier_038,15,6815.15979767,6922.354,0
barrier_worst_scale1_barrier_067,15,318.179994822,416.282,0
barrier_worst_scale1_barrier_066,15,381.980001926,446.572,0
barrier_worst_scale2_barrier_067,15,678.860008717,779.064,0
barrier_best_scale1_barrier_038,15,3434.99994278,3524.158,0
barrier_worst_scale2_barrier_066,15,766.820013523,835.874,0
barrier_worst_scale1_barrier_066,16,405.01999855,506.103,0
barrier_best_scale1_barrier_039,16,1893.46003532,2019.32,0
barrier_worst_scale2_barrier_066,16,764.699995518,893.944,0
barrier_best_scale2_barrier_038,16,6855.5598259,6968.945,0
barrier_best_scale2_barrier_039,16,3735.01992226,3854.199,0
barrier_best_scale1_barrier_038,16,3413.05994987,3532.978,0
barrier_worst_scale2_barrier_067,16,688.639998436,754.773,0
barrier_worst_scale1_barrier_067,16,350.919991732,469.792,0
barrier_worst_scale1_barrier_067,17,344.999998808,447.692,0
barrier_worst_scale1_barrier_066,17,407.779991627,534.223,0
barrier_best_scale1_barrier_038,17,3430.88006973,3547.688,0
barrier_best_scale2_barrier_038,17,6814.47982788,6915.615,0
barrier_best_scale1_barrier_039,17,1900.77996254,2001.62,0
barrier_worst_scale2_barrier_066,17,746.980011463,854.864,0
barrier_best_scale2_barrier_039,17,3778.19991112,3887.82,0
barrier_worst_scale2_barrier_067,17,686.760008335,811.895,0
barrier_worst_scale1_barrier_066,18,401.560008526,491.293,0
barrier_best_scale1_barrier_039,18,1888.80002499,2762.324,0
barrier_best_scale1_barrier_038,18,3444.04006004,3534.428,0
barrier_worst_scale1_barrier_067,18,336.019992828,434.652,0
barrier_best_scale2_barrier_038,18,6805.05990982,6908.964,0
barrier_worst_scale2_barrier_067,18,684.300005436,788.164,0
barrier_worst_scale2_barrier_066,18,758.4400177,871.795,0
barrier_best_scale2_barrier_039,18,3728.66010666,3840.74,0
barrier_worst_scale2_barrier_067,19,681.259989738,786.424,0
barrier_best_scale1_barrier_038,19,3409.75999832,3542.518,0
barrier_best_scale2_barrier_038,19,6813.36021423,6923.915,0
barrier_best_scale2_barrier_039,19,3733.77990723,3828.159,0
barrier_worst_scale1_barrier_066,19,368.860006332,502.803,0
barrier_best_scale1_barrier_039,19,1888.52000237,1972.18,0
