id,sample,device_envelope_us,host_us,max_abs_error
reuse_worst_scale2_reuse_002,10,92.579998076,184.681,0
reuse_worst_scale2_reuse_002,11,67.2399997711,142.211,0
reuse_worst_scale1_reuse_002,11,70.6999972463,152.031,0
reuse_best_scale2_reuse_032,11,3100.44002533,3263.086,0
reuse_worst_scale2_reuse_003,11,109.899997711,203.041,0
reuse_best_scale2_reuse_033,11,32203.0181885,32289.082,0
reuse_best_scale1_reuse_032,11,1583.32002163,1678.178,0
reuse_worst_scale1_reuse_003,11,111.079998314,196.181,0
reuse_best_scale1_reuse_033,11,16139.0590668,16212.681,0
reuse_worst_scale2_reuse_003,12,103.11999917,206.741,0
reuse_best_scale1_reuse_033,12,16138.1206512,16215.902,0
reuse_worst_scale1_reuse_003,12,84.9800035357,189.231,0
reuse_worst_scale1_reuse_002,12,64.5200014114,144.071,0
reuse_best_scale1_reuse_032,12,1570.79994678,1635.208,0
reuse_best_scale2_reuse_033,12,32208.0192566,32296.541,0
reuse_best_scale2_reuse_032,12,3114.39990997,3210.106,0
reuse_worst_scale2_reuse_002,12,77.7200013399,164.651,0
reuse_worst_scale2_reuse_002,13,71.6999992728,147.651,0
reuse_worst_scale1_reuse_003,13,93.8000008464,169.471,0
reuse_worst_scale2_reuse_003,13,83.7199985981,163.781,0
reuse_best_scale2_reuse_032,13,3098.7200737,3243.886,0
reuse_worst_scale1_reuse_002,13,88.8200029731,185.361,0
reuse_best_scale2_reuse_033,13,32206.9015503,32306.592,0
reuse_best_scale1_reuse_032,13,1579.46002483,1688.599,0
reuse_best_scale1_reuse_033,13,16148.3592987,16247.571,0
reuse_best_scale2_reuse_033,14,32209.7587585,32292.652,0
reuse_worst_scale1_reuse_003,14,103.419996798,207.591,0
reuse_worst_scale1_reuse_002,14,65.9200027585,153.661,0
reuse_worst_scale2_reuse_003,14,87.1199965477,155.071,0
reuse_worst_scale2_reuse_002,14,67.3400014639,140.321,0
reuse_best_scale1_reuse_033,14,16137.2203827,16208.591,0
reuse_best_scale1_reuse_032,14,1573.35996628,1654.188,0
reuse_best_scale2_reuse_032,14,3099.2000103,3176.146,0
reuse_best_scale1_reuse_032,15,1574.51999187,1675.079,0
reuse_best_scale2_reuse_032,15,3102.81991959,3187.636,0
reuse_best_scale2_reuse_033,15,32225.6813049,32329.022,0
reuse_worst_scale1_reuse_002,15,81.7399993539,188.611,0
reuse_worst_scale1_reuse_003,15,78.639999032,165.841,0
reuse_worst_scale2_reuse_002,15,67.1800002456,146.581,0
reuse_best_scale1_reuse_033,15,16138.4391785,16209.201,0
reuse_worst_scale2_reuse_003,15,91.4599969983,182.501,0
reuse_worst_scale1_reuse_003,16,79.8999965191,169.201,0
reuse_best_scale1_reuse_032,16,1559.64004993,1626.238,0
reuse_worst_scale2_reuse_003,16,85.4000002146,179.001,0
reuse_best_scale2_reuse_033,16,32207.9200745,32289.932,0
reuse_best_scale2_reuse_032,16,3106.82010651,3202.646,0
reuse_best_scale1_reuse_033,16,16140.7604218,16229.562,0
reuse_worst_scale2_reuse_002,16,68.5399994254,164.081,0
reuse_worst_scale1_reuse_002,16,64.5399987698,142.981,0
reuse_worst_scale1_reuse_002,17,66.1000013351,139.111,0
reuse_worst_scale1_reuse_003,17,78.9199993014,161.66,0
reuse_best_scale1_reuse_033,17,16137.6800537,16258.212,0
reuse_best_scale2_reuse_033,17,32194.480896,32357.132,0
reuse_best_scale1_reuse_032,17,1550.25994778,1663.018,0
reuse_worst_scale2_reuse_003,17,55.64000085,133.87,0
reuse_best_scale2_reuse_032,17,3061.61999702,3143.346,0
reuse_worst_scale2_reuse_002,17,46.0399985313,143.881,0
reuse_worst_scale1_reuse_003,18,39.0000008047,126.711,0
reuse_best_scale1_reuse_032,18,1532.63998032,1606.968,0
reuse_best_scale1_reuse_033,18,16115.480423,16220.362,0
reuse_worst_scale1_reuse_002,18,30.2000008523,152.281,0
reuse_best_scale2_reuse_033,18,32168.9796448,32265.462,0
reuse_worst_scale2_reuse_002,18,42.1199984848,207.751,0
reuse_worst_scale2_reuse_003,18,52.9399998486,122.381,0
reuse_best_scale2_reuse_032,18,3075.04010201,3141.556,0
reuse_worst_scale2_reuse_002,19,51.1600002646,136.541,0
reuse_best_scale1_reuse_033,19,16113.1591797,16186.191,0
reuse_best_scale2_reuse_033,19,32186.0389709,32305.862,0
reuse_best_scale2_reuse_032,19,3078.03988457,3168.346,0
reuse_worst_scale1_reuse_003,19,42.1800017357,136.811,0
reuse_best_scale1_reuse_032,19,1547.06001282,1617.318,0
reuse_worst_scale1_reuse_002,19,30.4799992591,113.93,0
reuse_worst_scale2_reuse_003,19,51.8000014126,143.931,0
reuse_best_scale2_reuse_032,20,3074.89991188,3140.046,0
reuse_worst_scale2_reuse_002,20,52.5199994445,128.98,0
reuse_best_scale1_reuse_032,20,1546.05996609,1617.208,0
reuse_worst_scale2_reuse_003,20,62.6600012183,139.161,0
reuse_best_scale2_reuse_033,20,32182.8613281,32286.072,0
reuse_worst_scale1_reuse_002,20,44.4599986076,216.811,0
reuse_best_scale1_reuse_033,20,16118.2193756,16200.542,0
reuse_worst_scale1_reuse_003,20,40.0400012732,131.661,0
reuse_worst_scale2_reuse_002,21,40.1999987662,104.54,0
reuse_best_scale1_reuse_032,21,1550.87995529,1613.528,0
reuse_worst_scale1_reuse_003,21,49.8199984431,130.791,0
reuse_worst_scale1_reuse_002,21,28.4400004894,99.17,0
reuse_best_scale2_reuse_032,21,3074.05996323,3138.926,0
reuse_best_scale2_reuse_033,21,32184.3605042,32287.092,0
reuse_worst_scale2_reuse_003,21,80.3399980068,170.021,0
reuse_best_scale1_reuse_033,21,16114.5992279,16191.871,0
reuse_worst_scale2_reuse_003,22,65.9599974751,163.741,0
reuse_best_scale1_reuse_033,22,16113.5597229,16188.001,0
reuse_best_scale1_reuse_032,22,1561.95998192,1636.898,0
reuse_worst_scale1_reuse_002,22,39.7199988365,115.331,0
reuse_worst_scale2_reuse_002,22,40.6999997795,110.56,0
reuse_best_scale2_reuse_032,22,3074.70011711,3146.726,0
reuse_worst_scale1_reuse_003,22,40.3200015426,130.35,0
reuse_best_scale2_reuse_033,22,32181.4804077,32253.582,0
reuse_best_scale1_reuse_033,23,16128.8204193,16222.081,0
reuse_worst_scale1_reuse_003,23,53.3800013363,131.241,0
reuse_worst_scale2_reuse_002,23,49.9200001359,111.61,0
reuse_worst_scale1_reuse_002,23,36.5800000727,93.07,0
reuse_best_scale1_reuse_032,23,1553.30002308,1615.298,0
reuse_worst_scale2_reuse_003,23,69.4800019264,146.67,0
reuse_best_scale2_reuse_032,23,3075.40011406,3137.425,0
reuse_best_scale2_reuse_033,23,32211.3189697,32323.613,0
reuse_best_scale2_reuse_033,24,32214.9810791,32326.992,0
reuse_best_scale1_reuse_032,24,1570.39999962,1664.838,0
reuse_worst_scale1_reuse_002,24,48.900000751,108.13,0
reuse_worst_scale2_reuse_003,24,60.1800009608,122.991,0
reuse_worst_scale2_reuse_002,24,50.8599989116,111.891,0
