scope,problem,count,valid,wins,ties,losses,cold_mean,archive_mean_same_valid
all,1,100,98,20,40,38,3.551793794981517,3.5963720581199508
all,2,100,100,25,7,68,4.096072517864958,4.334517565184253
all,3,100,100,29,6,65,4.169269921671611,4.42846590611176
development9,1,9,9,2,2,5,2.080153882637854,2.0509200026675374
development9,2,9,9,1,0,8,3.047437685001122,3.3445085520152946
development9,3,9,9,1,0,8,3.1449337871799012,3.4786991372833507
other91,1,91,89,18,38,33,3.7006113142072805,3.7526537266488464
other91,2,91,91,24,7,60,4.199783655181162,4.432430544508655
other91,3,91,91,28,6,57,4.270577891016945,4.522398883248635
