case,initial_makespan,common_prefix,greedy_at_m,beam_at_m,matched_result,greedy_calls,beam_calls,greedy_final,beam_final,selected_strategy,selected_makespan,selected_added_copy_bytes,beam_final_path_strictly_worsens_makespan,selected_plan,selected_plan_file_sha256,selected_plan_object_sha256
case_044,74588,15,74516,74516,tie,15,63,74516,74471,beam,74471,16960,True,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_044/selected.plan.json,7c72eca693ab2787ab2187263237af85c3f33c4bfe594ade243793c8a20e9578,2c44bc303ec07d6ab9620f1bcea50f57941e93db70aa3fea017bdf50a9d0b8a9
case_049,97671,26,86996,87083,greedy_better,26,59,86996,86523,beam,86523,4008106,True,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_049/selected.plan.json,9b888d10056362c16e242744585a9efe8c726d53f06e4ba8009146527681aad5,43ccc9b51275d8d3580f3d027b30f3a66f9dca4d946e1a21292ac432fba98dcb
case_051,164392,9,164392,164392,tie,9,57,164392,164392,greedy,164392,3507604,False,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_051/selected.plan.json,b6370fecf7937b813d9403f13114daa6f64bf395249b0bbcb22965b65d4aa1a4,be893a506dfffb76e5f8768d3b36bde5fcbf6ef7671d3a8071ed381052bdcb8c
case_069,11695,26,11595,11596,greedy_better,26,61,11595,11526,beam,11526,447792,True,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_069/selected.plan.json,9a94779ceb55f1e39106df2c0a77b1f093589bf8335a68a18441f1e8b0503084,ede5c59446190882c538f5b22474bcb7f574be4c13ad3a0d410c558c0c9fc28f
case_071,9304,24,9211,9211,tie,24,63,9211,9211,greedy,9211,361586,False,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_071/selected.plan.json,8b5b5cabc74d0fe0cadc5ea74d518765f0a5d403733c61f4e75c51f85e6424b7,ce52f1928dc2e580e82793a8ee104935651e8630dc060e7199f35053f404e906
case_082,238028,26,217970,218024,greedy_better,26,61,217970,217970,greedy,217970,8270134,False,/Users/liyu/Desktop/中文题目/A题研究/实验记录/beam_refinement/run_v1/case_082/selected.plan.json,07acf126c50b2783f668913b2b54c17241e14da78a58daf85f4daa361ed38abf,0fac86b74edd364666c2a625e7009b93bbb67cf5da9bdbfdc55bfa14f24a9bea
