problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
1,baseline,4,4,48,48,0,0,30.348572165938094,6.151325728977099
1,integrated,4,4,48,48,0,0,43.82120920799207,9.008154062496033
1,local_legacy,4,4,48,48,0,0,43.88578620890621,7.9476837709662504
2,baseline,6,6,72,72,0,0,38.922572292620316,7.282708208425902
2,integrated,6,6,72,72,0,0,66.82568349898793,13.377927270485088
2,local_legacy,6,6,72,72,0,0,47.87674862681888,8.849569625454023
3,baseline,6,6,72,72,0,0,39.26119070802815,7.783263624995016
3,integrated,6,6,72,72,0,0,77.20417912607081,14.462616729491856
3,local_legacy,6,6,72,72,0,0,54.47886025009211,10.299636896001175
