case,endpoint,problem,makespan,copy,hit,hit_bytes,miss_bytes
case_023,initial,2,21082,280992,,,
case_023,initial,3,19711,280992,0.19818937959542116,141728,573386
case_023,final,2,18576,279968,,,
case_023,final,3,18049,279968,0.20453537416695625,144800,563146
case_046,initial,2,82230,2582304,,,
case_046,initial,3,58678,2582304,0.5752320206399828,2054784,1517312
case_046,final,2,80935,2582304,,,
case_046,final,3,56568,2582304,0.5752320206399828,2054784,1517312
